SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Competition,19,2,"Segment, Competitors"
,Customers,10,2,"Customer, Percentage of Net Sales"
,PROPERTIES,3,6,"Line Item, North America, Europe,Middle East& Africa, Asia Pacific, South America, Total"
,Stock Performance Graph,3,7,"Company Index, December 31, 2013, December 31, 2014, December 31, 2015, December 31, 2016, December 31, 2017, December 31, 2018"
,Equity Compensation Plan Information,3,4,"Plan Category, Number of Securities to be Issued Upon Exercise of Outstanding Options, Warrants and Rights (a), Weighted-Average Exercise Price of Outstanding Options, Warrants and Rights (b), Number of Securities Remaining Available for Future Issuance Under Equity Compensation Plans (excluding securities reflected in column (a)) (c)"
,Repurchase of Equity Securities,4,5,"Period, Total Number of Shares Purchased, Average Price Paid per Share, Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs, Approximate Dollar Value of Shares that May Yet be Purchased Under the Program"
,SELECTED FINANCIAL DATA,29,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,SELECTED FINANCIAL DATA_2,7,6,"Line Item, 2018, 2017, 2016, 2015, 2014"
,SELECTED FINANCIAL DATA_3,15,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,2017 versus 2018,19,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Total Net Sales,1,9,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable), Volume, net ofcontractualpricereductions, FX, Commoditypass-through, Other, Total"
,Cost of Sales,4,9,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable), Volume (a), FX, Operationalperformance, Other, Total"
,"Selling, General and Administrative Expense",3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Amortization,1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Restructuring,3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Interest Expense,1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,"Other Income, Net",1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Income Taxes,1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Equity Income,1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Income from Discontinued Operations,1,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable)"
,Results of Operations by Segment,17,5,"Line Item, Signal and Power Solutions, Advanced Safety and User Experience, Eliminations and Other, Total"
,Results of Operations by Segment_2,17,5,"Line Item, Signal and Power Solutions, Advanced Safety and User Experience, Eliminations and Other, Total"
,Net Sales by Segment,4,9,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable), Volume, net of contractual price reductions, FX, Commodity Pass-through, Other, Total"
,Gross Margin Percentage by Segment,4,3,"Line Item, YE 12/31/2018, YE 12/31/2017"
,Adjusted Operating Income by Segment,4,8,"Line Item, YE 12/31/2018, YE 12/31/2017, Favorable/(unfavorable), Volume, net of contractual price reductions, Operational performance, Other, Total"
,2016 versus 2017 Consolidated Results of Operations,19,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Favorable/(unfavorable)"
,Total Net Sales_2,1,9,"Line Item, YE 12/31/2017, YE 12/31/2016, Favorable/(unfavorable), Volume, net of contractual price reductions, FX, Commodity pass-through, Other, Total"
,Cost of Sales_2,4,9,"Line Item, YE 12/31/2017, YE 12/31/2016, Favorable/(unfavorable), Volume (a), FX, Operationalperformance, Other, Total"
,"Selling, General and Administrative Expense_2",3,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Favorable/(unfavorable)"
,Amortization_2,1,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Favorable/(unfavorable)"
