SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Passenger Capacity and Cruise Guests Carried by Ocean Going Vessels III,3,4,"Year, Global   Cruise Industry (b), Carnival  Corporation & plc, Global   Cruise Industry (c)"
,Segment Information I,14,4,"Line Item, Passenger Capacity, Percentage of Total Capacity, Number of Cruise Ships"
,Ships Under Contract for Construction II,29,3,"Line Item, Scheduled Delivery Date, Passenger Capacity"
,Principal Source Geographic Areas IV,7,5,"Line Item, 2018, 2017, 2016, Brands Mainly Serving"
,Cruise Programs V,8,4,"Line Item, 2019, 2018, 2017"
,Properties,10,4,"Location, Square Footage, Own/Lease, Principal Operations"
,Executive Officers of the Registrants,6,4,"Line Item, Age, Years of Service (a), Title"
,Repurchase Program I,4,4,"Period, Total Number of Shares of Carnival CorporationCommon Stock Purchased, Average Price Paid per Share of Carnival Corporation Common Stock, Maximum Dollar Value of Shares That May Yet Be Purchased Under the Repurchase Program"
,Repurchase Program I_2,4,4,"Period, Total Number of Shares of Carnival plc Purchased, Average Price Paid per Share of Carnival plc, Maximum Dollar Value of Shares That May Yet Be Purchased Under the Repurchase Program"
,I,4,4,"Plan category, Number of securities to be issued upon exercise of warrants and rights, Weighted-average exercise price of outstanding warrants and rights, Number of securities remaining available for future issuance under equity compensation plans (excluding securities reflected in column )"
,Carnival plc II,4,4,"Plan category, Number of securities to be issued upon exercise of warrants and rights, Weighted-average exercise price of outstanding warrants and rights, Number of securities remaining available for future issuance under equity compensation plans (excluding securities reflected in column )"
,Exhibits (3),14,6,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date, Filed Herewith"
,Exhibits (3)_2,14,6,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date, Filed Herewith"
,Exhibits (3)_3,12,6,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date, Filed Herewith"
,Exhibits (3)_4,16,6,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date, Filed Herewith"
,Exhibits (3)_5,15,6,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date, Filed Herewith"
EXHIBIT 13,CONSOLIDATED STATEMENTS OF INCOME CARNIVAL CORPORATION & PLC,5,5,"Income Tax Expense, Net, (54, ), (60, (49"
,CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME CARNIVAL CORPORATION & PLC,1,5,"Other Comprehensive (Loss) Income, (167, ), 672, (713"
,CONSOLIDATED BALANCE SHEETS CARNIVAL CORPORATION & PLC,24,3,"Property and Equipment, Net, 35,336, 34,430"
,CONSOLIDATED STATEMENTS OF CASH FLOWS CARNIVAL CORPORATION & PLC,36,4,"Line Item, 2018, 2017, 2016"
