----------
Document:,LIST OF SUBSIDIARIES
----------
Table Title:,INTERNATIONAL SUBSIDIARIES
Name,Incorporation,If Less Than 100
mobile.de GmbH,Germany,
eBay GmbH,Germany,
eBay International Treasury Center Sarl,Luxembourg,
"eBay Korea Co., Ltd.",Korea,99.9
eBay International Holding GmbH,Switzerland,
eBay International AG,Switzerland,
eBay Korea Holding GmbH,Switzerland,
eBay Marketplaces GmbH,Switzerland,
Marktplaats B.V.,The Netherlands,
eBay Classifieds Holding B.V.,The Netherlands,
eBay KTA (UK) Limited,United Kingdom,
eBay (UK) Limited,United Kingdom,


