SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Comparison of five year cumulative total shareholder return,3,7,"Cumulative Total Shareholder Return $ at Fiscal Year End, 2013, 2014, 2015, 2016, 2017, 2018"
,Comparison of five year cumulative total shareholder return_2,3,7,"Industry Segment, 2013, 2014, 2015, 2016, 2017, 2018"
,Issuer Purchases of Equity Securities,4,5,"Period, TotalNumber ofSharesPurchased, AveragePrice  Paidper Share, Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs, Maximum Number of Shares That May Yet be Purchased Under the Plans or Programs"
,SELECTED FINANCIAL DATA . ITEM 6,14,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,RESULTS OF OPERATIONS,4,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,Non-GAAP Measures,2,4,"Termination fee, (9,045, ), --"
,Sources and Uses of Cash,3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Sources and Uses of Cash_2,3,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Contractual Obligations,3,6,"Line Item, Total, Less Than1 Year, 1-3 Years, 3-5 Years, Over5 Years"
,Other Commercial Commitments,3,6,"Line Item, Total  AmountsCommitted, Less Than1 Year, 1-3 Years, 3-5 Years, Over5 Years"
,QUARTERLY RESULTS OF OPERATIONS,6,5,"Line Item, March 31, 2018, June 30, 2018, Sept. 30, 2018, Dec. 31, 2018"
,QUARTERLY RESULTS OF OPERATIONS_2,6,5,"Line Item, March 31, 2017, June 30, 2017, Sept. 30, 2017, Dec. 31, 2017"
,Equity Compensation Plan Information,4,4,"Plan Category, (a)Number of Securities  tobe Issued upon Exerciseof Outstanding Options,Warrants and Rights, (b)Weighted AverageExercise Price ofOutstanding Options,Warrants and Rights, (c)Number of  SecuritiesRemaining Available forFuture Issuance UnderEquity CompensationPlans (ExcludingSecuritiesReflected in Column (a))"
,SIGNATURES,2,3,"s/ Paul D. Donahue, 2/25/2019, s/ Carol B. Yancey"
,SIGNATURES_2,17,3,"s/    Paul D. Donahue, 2/18/2019, s/    Carol B. Yancey"
,Consolidated Balance Sheets Genuine Parts Company and Subsidiaries,5,4,"Accumulated other comprehensive loss, (1,115,078, ), (852,592"
,Consolidated Statements of Income and Comprehensive Income Genuine Parts Company and Subsidiaries,16,5,"Other, (67,822, ), (52,212, (46,790"
,Consolidated Statements of Equity Genuine Parts Company and Subsidiaries,3,8,"Line Item, Purchase of stock, (951,060, ), (951, --, (91,032, (91,983"
,Consolidated Statements of Cash Flows Genuine Parts Company and Subsidiaries,35,5,"Excess tax benefits from share-based compensation, (4,232, ), (3,134, (12,021"
,Accumulated Other Comprehensive Loss,5,3,"Line Item,  12/31/2018,  12/31/2017"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries",1,7,"Net current period other comprehensive (loss) income, (57,096, ), (269, 28,114, (233,235, (262,486"
,3. Goodwill and Other Intangible Assets,1,7,"Foreign currency translation, (99,056, ), (707, (33, (99,796, (64,126"
,3. Goodwill and Other Intangible Assets_2,3,8,"Customer relationships, 1,356,353, (267,818, ), 1,088,535, 1,251,783, (199,741, 1,052,042"
,"4. Property, Plant & Equipment",5,3,"Land, 105,960, 104,049"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_2",3,4,"Unamortized debt issuance costs, (4,207, ), (4,841"
,8. Share-Based Compensation,7,3,"Line Item, Shares, Weighted Average Exercise Price"
,8. Share-Based Compensation_2,5,3,"Nonvested Share Awards (RSUs), Shares, Weighted Average Grant Date Fair Value"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_3",2,4,"Net deferred tax liability before valuation allowance, (141,239, ), (147,560"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_4",2,4,"United States, 790,592, 813,078, 934,476"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_5",1,5,"Foreign, (17,046, ), (18,911, 2,684"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_6",7,5,"Taxation of foreign operations, net, (7,639, ), (33,984, (18,057"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_7",3,5,"Reductions for tax positions for prior years, (725, ), (430, (1,369"
,10. Employee Benefit Plans,3,4,"Gross benefits paid, (118,643, ), (106,885"
,10. Employee Benefit Plans_2,1,3,"Weighted average discount rate, 4.36, 3.70"
,"December 31, 2018 s to Consolidated Financial Statements Genuine Parts Company and Subsidiaries_8",1,4,"Benefits paid, (118,643, ), (106,885"
