SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",5,3,"Line Item, YE 2018, YE 2017"
,Total Return Analysis,3,7,"Line Item, 2/1/2014, 1/31/2015, 1/20/2016, 1/28/2017, 2/3/2018, 2/2/2019"
,Purchases of Equity Securities by the Issuer and Affiliated Purchasers,4,5,"Line Item, Total Numberof SharesPurchased, AveragePrice PaidPer ShareIncludingCommissions, Total Numberof SharesPurchased asPart of PubliclyAnnouncedPlans orPrograms, Maximum Number(or approximatedollar amount) ofShares that MayYet be PurchasedUnder the Plans orPrograms"
,Selected Financial Data,28,6,"Line Item, YE 2018  (b), YE 2017  (c), YE 2016, YE 2015, YE 2014"
,"Comparable Sales (""Comp Sales"")",4,4,"Line Item, YE 2018, YE 2017, YE 2016"
,Store Count and Square Footage Information,1,4,"Line Item, YE 2018, YE 2017, YE 2016"
,Store Count and Square Footage Information_2,29,5,"Line Item, Number ofStore Locations, Number ofStores Opened, Number ofStores Closed, Square Footage"
,Cost of Goods Sold and Occupancy Expenses,4,3,"2018, 2017, 2016"
,Operating Expenses and Operating Margin,3,4,"Line Item, 2018, 2017, 2016"
,Interest Expense,1,3,"2018, 2017, 2016"
,Income Taxes,2,3,"2018, 2017, 2016"
,Liquidity and Capital Resources,5,4,"($ in millions), February 2, 2019, February 3, 2018, January 28, 2017"
,Free Cash Flow,4,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Contractual Cash Obligations,5,6,"($ in millions), Less than 1Year, 1-3 Years, 3-5 Years, More Than 5Years, Total"
,"THE GAP, INC.  Financial Statements and Supplementary Data",7,2,"Line Item, Page"
,"CONSOLIDATED BALANCE SHEETS THE GAP, INC",29,3,"($ and shares in millions except par value), February 2, 2019, February 3, 2018"
,"CONSOLIDATED STATEMENTS OF INCOME THE GAP, INC",15,4,"($ and shares in millions except per share amounts), YE 2018, YE 2017, YE 2016"
,"CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME THE GAP, INC",7,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,"CONSOLIDATED STATEMENTS OF STOCKHOLDERS' EQUITY THE GAP, INC",26,7,"Balance as of January 30, 2016, 397, 20, --, 2,440, 85, 2,545"
,"CONSOLIDATED STATEMENTS OF CASH FLOWS THE GAP, INC",45,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Foreign Currency,3,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Statement of Cash Flows: Restricted Cash,4,4,"($ in millions), 2018, 2017, 2016"
,Cash and Cash Equivalents . Additional Financial Statement Information  2,5,3,"($ in millions), February 2, 2019, February 3, 2018"
,Short-Term Investments,4,3,"($ in millions), February 2, 2019, February 3, 2018"
,Other Current Assets,6,3,"($ in millions), February 2, 2019, February 3, 2018"
,Property and Equipment,8,3,"($ in millions), February 2, 2019, February 3, 2018"
,Other Long-Term Assets,6,3,"($ in millions), February 2, 2019, February 3, 2018"
,Accrued Expenses and Other Current Liabilities,7,3,"($ in millions), February 2, 2019, February 3, 2018"
,Lease Incentives and Other Long-Term Liabilities,5,3,"($ in millions), February 2, 2019, February 3, 2018"
,Goodwill and Trade Names  3,2,3,"($ in millions), February 2, 2019, February 3, 2018"
,Financial Assets and Liabilities,9,5,"($ in millions), February 2, 2019, Quoted Prices inActive Markets forIdentical Assets(Level 1), Significant OtherObservable Inputs(Level 2), SignificantUnobservableInputs(Level 3)"
,Financial Assets and Liabilities_2,7,5,"($ in millions), February 3, 2018, Quoted Prices inActive Markets forIdentical Assets(Level 1), Significant OtherObservable Inputs(Level 2), SignificantUnobservableInputs(Level 3)"
,Outstanding Notional Amounts,3,3,"($ in millions), February 2, 2019, February 3, 2018"
,Quantitative Disclosures about Derivative Financial Instruments,12,3,"($ in millions), February 2, 2019, February 3, 2018"
,Quantitative Disclosures about Derivative Financial Instruments_2,6,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Quantitative Disclosures about Derivative Financial Instruments_3,1,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Share Repurchases,3,4,"($ and shares in millions except average per share cost), YE 2018, YE 2017, YE 2016"
,Accumulated Other Comprehensive Income  9,20,4,"($ in millions), Foreign Currency Translation, Cash Flow Hedges, Total"
,Share-Based Compensation  10,6,4,"($ in millions), YE 2018, YE 2017, YE 2016"
,Stock Units,5,3,"Line Item, Shares, Weighted-AverageGrant-DateFair Value Per Share"
,Stock Units_2,2,4,"Line Item, YE 2018, YE 2017, YE 2016"
,Stock Options,4,4,"Line Item, YE 2018, YE 2017, YE 2016"
,Stock Options_2,5,3,"Line Item, Shares, Weighted-AverageExercise Price Per Share"
