SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Properties,6,4,"Line Item, Owned SquareFeet, Leased SquareFeet, Total"
,Equity Compensation Plan Information,5,4,"Line Item, Number of Securities to be Issued Upon Exercise of Outstanding Options, Warrants and Rights, Weighted Average Exercise Price of Outstanding Options, Warrants and Rights, Number of Securities Remaining Available for Future Issuance under Equity Compensation Plans"
,Cash Requirements and Trends Affecting Liquidity Liquidity and Capital Resources,8,2,"BorrowingCapacity, BorrowingAvailability"
,Future Contractual Obligations and Commitments,15,6,"Line Item, At December 29, 2018, Fiscal2019, Fiscal2020-2021, Fiscal2022-2023, Fiscal2024 andThereafter"
,Defined Benefit Pension Plans,4,3,"Line Item, PensionExpense, BenefitObligation"
,POWER OF ATTORNEY,26,3,"Signature, Capacity, Date"
,Consolidated Statements of Stockholders' Equity HANESBRANDS INC,26,8,"Balances at January 2, 2016, 391,653, 3,917, 277,569, 1,389,338, (394,933, ), 1,275,891"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC",4,2,"Line Item, Year Ended"
,Consolidated Pro Forma Results,6,2,"Line Item, Year Ended"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_2",7,5,"Line Item, Shares, Weighted-AverageExercisePrice, AggregateIntrinsicValue, Weighted-AverageRemainingContractualTerm(Years)"
,Stock Unit Awards,16,5,"Line Item, Shares, Weighted-AverageGrantDate FairValue, AggregateIntrinsicValue, Weighted-AverageRemainingContractualTerm(Years)"
,Allowances for Trade Accounts Receivable Trade Accounts Receivable (7),13,4,"Line Item, AllowanceforDoubtfulAccounts, AllowanceforChargebacksand OtherDeductions, Total"
,s Payable (10),4,3,"Line Item, InterestRate as ofDecember 29, 2018, Principal Amount"
,(a) Intangible Assets,12,4,"Line Item, Gross, AccumulatedAmortization, Net BookValue"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_3",12,4,"Line Item, Gross, AccumulatedAmortization, Net BookValue"
,(b) Goodwill,8,6,"Line Item, Innerwear, Activewear, International, Other, Total"
,Accumulated Other Comprehensive Loss (14),7,6,"Line Item, Cumulative Translation Adjustment, Hedges, Defined Benefit Plans, Income Taxes, Accumulated Other Comprehensive Loss"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_4",8,3,"Component of AOCI, Location of Reclassification into Income, Amount of Reclassification from AOCI"
,Fair Values of Derivative Instruments,1,4,"Total derivative liabilities, (400, ), (22,568"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_5",21,5,"Line Item, Total, Quoted Prices InActive Marketsfor IdenticalAssets(Level 1), SignificantOtherObservableInputs(Level 2), SignificantUnobservableInputs(Level 3)"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_6",21,5,"Line Item, Total, Quoted Prices InActive Marketsfor IdenticalAssets(Level 1), SignificantOtherObservableInputs(Level 2), SignificantUnobservableInputs(Level 3)"
,"(amounts in thousands, except per share data) Years ended December 29, 2018, December 30, 2017 and December 31, 2016 s to Consolidated Financial Statements -- (Continued) HANESBRANDS INC_7",15,4,"Line Item, Current, Deferred, Total"
,Geographic Area Information (22),5,3,"Line Item, Sales, Property, Net"
,Quarterly Financial Data (Unaudited) (23),21,6,"Line Item, First, Second, Third, Fourth, Total"
EXHIBIT 10.10,FISCAL YEAR-END DATE,4,5,"Metric, Weighting, Threshold, Target, Maximum"
EXHIBIT 21.1,U.S. SUBSIDIARIES Exhibit 21.1,44,2,"Name of Subsidiary, Jurisdiction of Formation"
,NON-U.S. SUBSIDIARIES,42,2,"Name of Subsidiary, Jurisdiction of Formation"
,NON-U.S. SUBSIDIARIES_2,45,2,"Name of Subsidiary, Jurisdiction of Formation"
,NON-U.S. SUBSIDIARIES_3,45,2,"Name of Subsidiary, Jurisdiction of Formation"
,NON-U.S. SUBSIDIARIES_4,45,2,"Name of Subsidiary, Jurisdiction of Formation"
,NON-U.S. SUBSIDIARIES_5,11,2,"Name of Subsidiary, Jurisdiction of Formation"
