SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,"2019 28, EBRUARY F ORMAT AS OF F Y B TORES S AR C SED U",3,3,"Line Item, Production Stores, Non-production Stores"
,"2019 28, EBRUARY F TATE AS OF S Y B TORES S AR C SED U",21,2,"State, Count"
,Issuer Purchases of Equity Securities,4,5,"Period, Purchased, per Share, Announced Programs, the Programs"
,Performance Graph,3,7,"Line Item, 2014, 2015, 2016, 2017, 2018, 2019"
,Selected Financial Data,5,7,"Wholesale vehicle unit sales, 9.5, 4.3, (0.7, ), 4.9, 9.8"
,Gross Profit Operating Revenues Net Sales and,16,3,"(Dollars in millions except per share or per unit data), 2019, Change from 2018"
,EVENUES R PERATING O ALES AND S ET N,3,7,"Third-party finance fees, net, (43.4, ), 13.0, (49.9, (29.9, (38.4"
,ALES S NIT U,1,6,"Used vehicles, 748,961, 3.8, 721,512, 7.5, 671,294"
,HANGES C ALES S EHICLE V SED U TORE S OMPARABLE C,1,4,"Used vehicle units, 0.3, 2.0, 4.3"
,HANGES C ALES S EHICLE V,1,5,"Wholesale vehicle units, 9.5, 4.3, (0.7, )"
,AYOFFS) P AY D - 3 MPACT OF I EFORE THE (B HANNEL C ENETRATION BY P INANCING F EHICLE V SED U,4,3,"CAF, 48.4, 49.5"
,ASE B TORE S AR C SED U HANGE IN C,2,4,"Used car stores, beginning of year, 188, 173, 158"
,ROFIT P ROSS G,4,5,"Line Item, 2019, Change, 2018, 2017"
,NIT U ER P ROFIT P ROSS G,3,6,"Used vehicle gross profit, 2,175, 10.7, 2,173, 10.9, 2,163"
,ERIODS P RIOR P OMPARED WITH C XPENSES SG&A E OMPONENTS OF C,6,5,"Line Item, 2019, Change, 2018, 2017"
,NFORMATION I INANCIAL CAF F ELECTED S,3,8,"Interest expense, (289.3, ), (2.4, (215.0, (1.9, (171.4, (1.7"
,AYOFFS) P AY D - 3 MPACT OF I FTER THE (A NFORMATION I RIGINATION CAF O,6,4,"Net loans originated, 6,330.1, 5,962.2, 5,643.3"
