SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
ANNUAL REPORT,Company-owned Retail Stores Real Estate,5,7,"Line Item, Beginningof Year, Opened, Closed, Acquired (a), Sold (b), End of Year"
,PROPERTIES,7,3,"Location, Use, ApproximateSquareFootage"
,"MARKET FOR REGISTRANT'S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES",11,3,"Line Item, Market Price, Cash Dividendper Share"
,"AMONG L BRANDS, INC., THE S&P 500 INDEX AND THE S&P RETAIL COMPOSITE INDEX COMPARISON OF FIVE YEAR CUMULATIVE TOTAL RETURN (a) (b) (c) (d)",4,5,"Period, TotalNumber ofSharesPurchased (a), Average PricePaid perShare (b), Total Numberof SharesPurchased asPart of PubliclyAnnouncedPrograms (c), MaximumDollar Value of Sharesthat MayYet be PurchasedUnder the Programs (c)"
,SELECTED FINANCIAL DATA,31,6,"Line Item, February 2, 2019, February 3, 2018 (a), January 28, 2017, January 30, 2016, January 31, 2015"
,Adjusted Financial Information,27,4,"Line Item, 2018, 2017, 2016"
,Company-Owned Store Data,12,4,"Line Item, 2018, 2017, 2016"
,Operating Income,5,3,"Line Item, 2018, 2017"
,Net Sales,9,4,"Line Item, 2018, 2017, Change"
,Net Sales_2,7,6,"2017 Net Sales, 7,387, 4,148, 502, 595, 12,632"
,Net Sales_3,8,3,"Line Item, 2018, 2017"
,Interest Expense Other Income and Expenses,2,3,"Line Item, 2018, 2017"
,Operating Income_2,5,3,"Line Item, 2018, 2017"
,Net Sales_4,9,4,"Fourth Quarter, 2018, 2017, Change"
,Net Sales_5,8,6,"Fourth Quarter, Victoria'sSecret, Bath & BodyWorks, Victoria's SecretandBath & BodyWorksInternational, Other, Total"
,Net Sales_6,8,3,"Fourth Quarter, 2018, 2017"
,Interest Expense Other Income and Expense,2,3,"Fourth Quarter, 2018, 2017"
,Operating Income_3,5,3,"Line Item, 2017, 2016"
,Net Sales_7,9,4,"Line Item, 2017, 2016, Change"
,Net Sales_8,6,6,"2016 Net Sales, 7,781, 3,852, 423, 518, 12,574"
,Net Sales_9,8,3,"Line Item, 2017, 2016"
,Interest Expense Other Income and Expenses_2,2,3,"Line Item, 2017, 2016"
,Operating Income_4,5,3,"Line Item, 2017, 2016"
,Net Sales_10,9,4,"Fourth Quarter, 2017, 2016, Change"
,Net Sales_11,7,6,"Fourth Quarter, Victoria'sSecret, Bath & BodyWorks, Victoria's SecretandBath & BodyWorksInternational, Other, Total"
,Net Sales_12,8,3,"Fourth Quarter, 2017, 2016"
,Interest Expense Other Income and Expense_2,2,3,"Fourth Quarter, 2017, 2016"
,Credit Ratings,4,3,"Line Item, Moody's, S&P"
,Common Stock Share Repurchases,5,5,"Repurchase Program, Amount Authorized, 2018, 2017, 2016"
,Dividend Policy and Procedures,12,4,"2018 Total, 2.40, --, 666"
,Cash Flow,7,4,"Line Item, 2018, 2017, 2016"
,Contingent Liabilities and Contractual Obligations,5,7,"Line Item, Total, LessThan 1Year, 1-3Years, 4-5Years, Morethan 5Years, Other"
,FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,9,2,"Line Item, Page No"
,"CONSOLIDATED STATEMENTS OF INCOME L BRANDS, INC",13,4,"Line Item, 2018, 2017, 2016"
,"CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME L BRANDS, INC",10,4,"Line Item, 2018, 2017, 2016"
,"CONSOLIDATED STATEMENTS OF TOTAL EQUITY (DEFICIT) L BRANDS, INC",9,10,"Balance, February 3, 2018, 280, 141, 678, 24, (1,434, ), (162, 2, (751"
,"CONSOLIDATED STATEMENTS OF CASH FLOWS L BRANDS, INC",46,4,"Line Item, 2018, 2017, 2016"
,Property and Equipment,6,2,"Category of Property and Equipment, Depreciable Life Range"
