----------
Document:,EXHIBIT 21
----------
Table Title:,Exhibit 21
Company Name,State of Incorporation,DBAs
"308 Furman, Ltd",TX,
"360 Developers, LLC",FL,
"Alliance Financial Services, Inc.",DE,Lennar
"Ann Arundel Farms, Ltd.",TX,
"Aquaterra Utilities, Inc.",FL,
"Arbor Mill Veteran Project 2018, LLC",FL,
Asbury Woods L.L.C.,IL,
"Astoria Options, LLC",DE,
"Autumn Creek Development, Ltd.",TX,
"Aylon, LLC",DE,
"Azusa Associates, LLC",CA,Lennar
"B2 Milpitas, LLC",DE,
"Bainebridge 249, LLC",FL,
"Bay Colony Expansion 369, Ltd",TX,
"Bay River Colony Development, Ltd.",TX,
"BB Investment Holdings, LLC",NV,
"BCI Properties, LLC",NV,
"Bellagio Lennar, LLC",FL,
"Belle Meade LEN Holdings, LLC",FL,
"Belle Meade Partners, LLC",FL,
BHCSP LLC,DE,Lennar
"Black Mountain Ranch, LLC",CA,Lennar
"Blue Horizons Estates, LLC",AZ,Lennar
"BMR Communities, LLC",CA,Lennar
"BMR Constructon, Inc.",DE,Lennar
"BMTD, LLC",SC,
"Bonterra Lennar, LLC",FL,
"BPH I, LLC",NV,
"Bramalea California, Inc.",CA,
"Bressi Gardenlane, LLC",DE,
"Breton Park Lennar, LLC",FL,
"CalAtlantic Financial Services, Inc.",DE,Lennar
"CalAtlantic Group, Inc.",DE,Lennar
"CalAtlantic Homes of Arizona, Inc.",DE,Lennar
"CalAtlantic Homes of Georgia, Inc.",DE,Lennar
"CalAtlantic Homes of Indiana, Inc.",DE,Lennar
"CalAtlantic Homes of Texas, Inc.",DE,Lennar
"CalAtlantic Homes of Washington, Inc.",DE,Lennar
CalAtlantic Insurance Services,CA,Lennar
"CalAtlantic Mortgage, Inc.",CA,Lennar
"CalAtlantic of North Florida Realty, Inc.",FL,Lennar
"CalAtlantic Title Atlanta, LLC",GA,Lennar


Table Title:,Exhibit 21_2
Company Name,State of Incorporation,DBAs
"CalAtlantic Title Charleston, LLC",SC,Lennar
"CalAtlantic Title of Maryland, Inc.",MD,Lennar
"CalAtlantic Title, Inc.",MD,Lennar
"Camarillo Village Park, LLC",CA,Lennar
Cambria L.L.C.,IL,
"Candlestick Retail Member, LLC",DE,
"CAP IL 1, LLC",DE,Lennar
"Cardiovascular Medical Specialists, LLC",IN,
"Carson Creek El Dorado, LLC",CA,
"Cary Woods, LLC",IL,
"Casa Marina Development, LLC",FL,
"Caswell Acquisition Group, LLC",DE,
"Central Park West Holdings, LLC",DE,
"Chatelaine Ventures, LLC",DE,Lennar
Cherrytree II LLC,MD,
"CL Ventures, LLC",FL,
"Club Bonterra Lennar, LLC",FL,
"Coco Palm 82, LLC",FL,
Colonial Heritage LLC,VA,
"Columbia National Risk Retention Group, Inc.",VT,Lennar
"Concord Station, LLP",FL,Club Concord Station
Cornerstone Title Insurance Company,VT,Lennar
Coventry L.L.C.,IL,
"CP Red Oak Management, LLC",TX,
"CP Red Oak Partners, Ltd.",TX,
"CP Vertical Development Co. 1, LLC",DE,
"CP/HPS Development Co. GP, LLC",DE,
"CP/HPS Development Co.-C, LLC",DE,
"CPFE, LLC",MD,
"CPHP Development, LLC",DE,
"Creekside Crossing, L.L.C.",IL,
"Crest at Fondren Investor, LLC",DE,
Darcy-Joliet L.L.C.,IL,
"DBJ Holdings, LLC",NV,
"DCA Financial, LLC",FL,
"Downtown Doral Retail Holdings, LLC",DE,
"DTC Holdings of Florida, LLC",FL,
"Durrell 33, LLC",NJ,
"Eagle Bend Commercial, LLC",CO,
Eagle Home Mortgage of California,CA,
"Eagle Home Mortgage, LLC",FL,
Eastport Home & Land Company LLC,DE,
"EL at Marlboro 79, LLC",DE,


Table Title:,Exhibit 21_3
Company Name,State of Incorporation,DBAs
"El at Monroe, LLC",DE,
"EL Ventures, LLC",DE,
"Elkhorn Ranch Venture, LLC",CO,
"Estates Seven, LLC",DE,
"EV, LLC",MD,
Evergreen Village LLC,DE,
"F&R Florida Homes, LLC",FL,
"F&R QVI Home Investments USA, LLC",DE,
"Faria Preserve, LLC",DE,Lennar
Fidelity Guaranty and Acceptance Corp.,DE,First Texas Fidelity Company
FLORDADE LLC,FL,
"Folsom Ventures, LLC",DE,
"Fox-Maple Associates, LLC",NJ,
"Friendswood Development Company, LLC",TX,"Maple Ridge Asociates, LLC"
"Garco Investments, LLC",FL,
"GDI MANAGER, LLC",DE,
"Geraci Land Acquisition, LLC",FL,Lennar
