SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,"Securities registered pursuant to Section 12(b) of the Act: Registrant's Telephone Number, Including Area Code (301) 380-3000",1,2,"Title of Each Class, Name of Each Exchange on Which Registered"
,Select,49,7,"Line Item, North America, Europe, Middle East & Africa, Asia Pacific, Caribbean & Latin America, Total"
,Select_2,1,8,"Line Item, Total Properties 1, 5,106, 582, 252, 717, 249, 6,906"
,Properties,39,3,"Properties, Location, Rooms"
,Properties_2,35,3,"Properties, Location, Rooms"
,Fourth Quarter 2018 Issuer Purchases of Equity Securities,3,5,"Period, Total Numberof SharesPurchased, Average Priceper Share, Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs, Maximum Number of Shares That May Yet Be Purchased Under the Plans or Programs"
,Selected Financial Data,20,11,"($ in millions, except per share data), YE 2018, YE 2017, YE 2016, YE 2015, YE 2014, YE 2013, YE 2012, YE 2011, YE 2010, YE 2009"
,2017 Compared to 2018,13,3,"Line Item, 2018, vs. 2017"
,2017 Compared to 2018_2,13,3,"Line Item, 2018, vs. 2017"
,2016 Compared to 2017,13,3,"Line Item, 2017, vs. 2016"
,2016 Compared to 2017_2,13,3,"Line Item, 2017, vs. 2016"
,Fee Revenues,6,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,"Owned, Leased, and Other",3,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Cost Reimbursements,3,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Other Operating Expenses,3,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Non-Operating Income (Expense),4,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Income Taxes,1,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,North American Full-Service,2,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,North American Limited-Service,2,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Asia Pacific,2,6,"($ in millions), 2018, 2017, 2016, Change 2018 vs. 2017, Change 2017 vs. 2016"
,Cash from Operations,2,4,"($ in millions), 2018, 2017, 2016"
,Contractual Obligations,6,6,"($ in millions), Total, Less Than1 Year, 1-3 Years, 3-5 Years, After5 Years"
,Other Commitments,3,6,"($ in millions), TotalAmountsCommitted, Less Than1 Year, 1-3 Years, 3-5 Years, After5 Years"
,Quantitative and Qualitative Disclosures About Market Risk. Item 7A,10,9,"($ in millions), 2019, 2020, 2021, 2022, 2023, There-after, TotalCarryingAmount, TotalFairValue"
,Financial Statements and Supplementary Data,28,2,"Line Item, Page"
,"2016 , and 2017 , 2018 Fiscal Years CONSOLIDATED STATEMENTS OF INCOME MARRIOTT INTERNATIONAL, INC",10,4,"OPERATING INCOME, 2,366, 2,504, 1,424"
,"2016 , and 2017 , 2018 Fiscal Years CONSOLIDATED STATEMENTS OF SHAREHOLDERS' EQUITY MARRIOTT INTERNATIONAL, INC",23,7,"CommonSharesOutstanding, Total, Class ACommonStock, AdditionalPaid-in-Capital, RetainedEarnings, TreasuryStock, atCost, AccumulatedOtherComprehensive Loss"
,Revenue from Contracts with Customers,28,4,"($ in millions, except per share amounts), As Previously Reported, Adoption of ASU 2014-09, As Adjusted"
,Revenue from Contracts with Customers_2,9,4,"($ in millions), As Previously Reported, Adoption of ASU 2014-09, As Adjusted"
,Revenue from Contracts with Customers_3,39,4,"($ in millions), December 31, 2017(As Previously Reported), Adoption of ASU 2014-09, December 31, 2017(As Adjusted)"
,Revenue from Contracts with Customers_4,35,5,"($ in millions), As Previously Reported, ASU 2014-09, ASUs 2016-18 and 2016-15, As Adjusted"
,2016 Starwood Combination,12,2,"($ in millions), September 23, 2016 (as finalized)"
,2016 Starwood Combination_2,5,3,"Line Item, Estimated Fair Value, Estimated Useful Life"
,EARNINGS PER SHARE . 4,11,4,"Line Item, 2018, 2017, 2016"
,RSUs and PSUs,3,4,"Line Item, 2018, 2017, 2016"
,RSUs and PSUs_2,5,3,"Line Item, Number of RSUs, Weighted Average Grant-DateFair Value(per RSU)"
,INCOME TAXES . 6,3,4,"($ in millions), 2018, 2017, 2016"
,INCOME TAXES . 6_2,9,4,"($ in millions), 2018, 2017, 2016"
,Unrecognized Tax Benefits,16,2,"($ in millions), Amount"
,Deferred Income Taxes,20,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,Reconciliation of U.S. Federal Statutory Income Tax Rate to Actual Income Tax Rate,11,4,"Line Item, 2018, 2017, 2016"
,Guarantees,4,3,"($ in millions)Guarantee Type, Maximum PotentialAmountof Future Fundings, Recorded Liability forGuarantees"
,LEASES . 8,9,3,"($ in millions), Operating Leases, Capital Leases"
,LEASES . 8_2,3,4,"($ in millions), 2018, 2017, 2016"
,SELF-INSURANCE RESERVE FOR LOSSES AND LOSS ADJUSTMENT EXPENSES . 9,17,3,"($ in millions), 2018, 2017"
,LONG-TERM DEBT . 10,25,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,LONG-TERM DEBT . 10_2,7,2,"Debt Principal Payments ($ in millions), Amount"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11,20,3,"($ in millions), 2018, 2017"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11_2,4,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11_3,3,3,"($ in millions), 2018, 2017"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11_4,2,3,"Line Item, 2018, 2017"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11_5,7,5,"($ in millions), Level 1, Level 2, Level 3, Total"
,PENSION AND OTHER POSTRETIREMENT BENEFITS . 11_6,6,5,"($ in millions), DomesticPension Benefits, ForeignPension Benefits, Other PostretirementBenefits, Total"
,INTANGIBLE ASSETS AND GOODWILL . 12,8,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,INTANGIBLE ASSETS AND GOODWILL . 12_2,3,6,"($ in millions), North American Full-Service, North American Limited-Service, Asia Pacific, Other International, TotalGoodwill"
,PROPERTY AND EQUIPMENT . 13,7,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,S RECEIVABLE . 14,9,2,"Notes Receivable Principal Payments ($ in millions), Amount"
,ACCUMULATED OTHER COMPREHENSIVE LOSS . 16,14,6,"($ in millions), Foreign Currency Translation Adjustments, Derivative Instrument Adjustments, Available-For-Sale Securities Unrealized Adjustments, Pension and Postretirement Adjustments, Accumulated Other Comprehensive Loss"
,Segment Revenues,8,6,"($ in millions), North American Full-Service, North American Limited-Service, Asia Pacific, Other International, Total"
,Segment Revenues_2,8,6,"($ in millions), North American Full-Service, North American Limited-Service, Asia Pacific, Other International, Total"
,Segment Revenues_3,8,6,"($ in millions), North American Full-Service, North American Limited-Service, Asia Pacific, Other International, Total"
,Segment Profits,8,4,"($ in millions), 2018, 2017, 2016"
,"Depreciation, Amortization, and Other",6,4,"($ in millions), 2018, 2017, 2016"
,Capital Expenditures,6,4,"($ in millions), 2018, 2017, 2016"
,Equity Method Investments,11,4,"($ in millions), 2018, 2017, 2016"
,Equity Method Investments_2,12,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,Equity Method Investments_3,2,4,"($ in millions), 2018, 2017, 2016"
,Equity Method Investments_4,2,3,"($ in millions), At Year-End 2018, At Year-End 2017"
,QUARTERLY FINANCIAL DATA - UNAUDITED SUPPLEMENTARY DATA,5,6,"Line Item, FirstQuarter, SecondQuarter, ThirdQuarter, FourthQuarter, FiscalYear"
,QUARTERLY FINANCIAL DATA - UNAUDITED SUPPLEMENTARY DATA_2,5,6,"Line Item, FirstQuarter, SecondQuarter, ThirdQuarter, FourthQuarter, FiscalYear"
,QUARTERLY FINANCIAL DATA - UNAUDITED SUPPLEMENTARY DATA_3,28,4,"($ in millions, except per share amounts), As Previously Reported, Adjustments, As Adjusted"
,EXECUTIVE OFFICERS OF THE REGISTRANT,4,3,"Name and Title, Age, Business Experience"
,EXECUTIVE OFFICERS OF THE REGISTRANT_2,4,3,"Name and Title, Age, Business Experience"
,EXECUTIVE OFFICERS OF THE REGISTRANT_3,4,3,"Name and Title, Age, Business Experience"
,Exhibits and Financial Statement Schedules,6,3,"Exhibit No, Description, Incorporation by Reference (where a report is indicated below, that document has been previously filed with the SEC and the applicable exhibit is incorporated by reference thereto)"
,Exhibits and Financial Statement Schedules_2,12,3,"Exhibit No, Description, Incorporation by Reference (where a report is indicated below, that document has been previously filed with the SEC and the applicable exhibit is incorporated by reference thereto)"
,Exhibits and Financial Statement Schedules_3,18,3,"Exhibit No, Description, Incorporation by Reference (where a report is indicated below, that document has been previously filed with the SEC and the applicable exhibit is incorporated by reference thereto)"
,Exhibits and Financial Statement Schedules_4,18,3,"Exhibit No, Description, Incorporation by Reference (where a report is indicated below, that document has been previously filed with the SEC and the applicable exhibit is incorporated by reference thereto)"
,Exhibits and Financial Statement Schedules_5,19,3,"Exhibit No, Description, Incorporation by Reference (where a report is indicated below, that document has been previously filed with the SEC and the applicable exhibit is incorporated by reference thereto)"
