corpid,brands,appdate,subnum
b'1',b'ZSHOPS',2010-09-07,b'6'
b'1',b'AMAZON.COM',2010-04-23,b'6'
b'1',b'LOGO',2010-04-23,b'6'
b'1',b'SELLER CENTRAL',2003-09-26,b'6'
b'1',b'AMAZON',2003-06-12,b'6'
b'1',b'GOLD BOX',2002-07-01,b'6'
b'1',b'No Verbal Elements',2000-01-12,b'6'
b'1',b'NEW FOR YOU',1998-01-02,b'6'
b'1',b'1-CLICK',1998-01-02,b'6'
b'1',b'EARTHS BIGGEST BOOKSTORE',1997-04-18,b'6'
b'1',b'zshops shops',2000-02-24,b'6'
b'1',b'LISTMANIA',2000-05-17,b'6'
b'1',b'EARTHS BIGGEST SELECTION',1999-03-29,b'6'
b'1',b'STRATHWOOD',2004-02-10,b'6'
b'1',b'\xd8\xb2\xd8\xb4\xd9\x88\xd8\xa8\xd8\xb3',2000-03-22,b'6'
b'1',b'WHITE FRIDAY SALE',2015-12-17,b'5'
b'1',b'SHELFARI',2007-01-09,b'5'
b'1',b'ALEXA',2018-09-17,b'5'
b'1',b'ECHO',2018-07-04,b'5'
b'1',b'prime',2017-09-27,b'5'
b'1',b'AMAZON PRIME',2016-12-02,b'5'
b'1',b'KINDLE',2013-02-11,b'5'
b'1',b'JET CITY',2013-09-30,b'5'
b'1',b'DASH',2017-01-05,b'5'
b'1',b'A',2015-05-01,b'5'
b'1',b'EVERY PACK HAS A STORY',2015-04-30,b'5'
b'1',b'AMAZON ELEMENTS',2015-04-30,b'5'
b'1',b'AMAZON DASH',2015-04-09,b'5'
b'1',b'JAMES & ERIN',2015-04-01,b'5'
b'1',b'KINDLE VOYAGE',2015-01-20,b'5'
b'1',b'MAYDAY',2014-10-22,b'5'
b'1',b'FIRE',2014-10-21,b'5'
b'1',b'NUPRO',2014-10-01,b'5'
b'1',b'AMAZON FIRE',2014-07-10,b'5'
b'1',b'PAPERWHITE',2012-11-02,b'5'
b'1',b'KINDLE FREETIME',2012-09-26,b'5'
b'1',b'KINDLE POWERFAST',2012-09-26,b'5'
b'1',b'AMAZON =',2010-04-14,b'5'
b'1',b'FIREVIEWER',2000-04-14,b'5'
b'1',b'FIREDOCK',2012-04-22,b'5'
b'1',b'ARABELLA',2017-05-06,b'5'
b'1',b'GRAPH CACHE THRASH',2016-08-04,b'5'
b'1',b'MAMA BEAR',2016-05-16,b'5'
b'1',b'STYLE CODE',2015-08-06,b'5'
b'1',b'AMAZON ECHO',2015-04-30,b'5'
b'1',b'BLAZEGRAPH',2015-01-08,b'5'
b'1',b'MAPGRAPH',2015-01-08,b'5'
b'1',b'FIREFLY',2014-09-30,b'5'
b'1',b'CLOUDTRAIL',2013-10-23,b'5'
b'1',b'JET CITY COMICS',2013-08-19,b'5'
b'1',b'TWO LIONS',2012-10-29,b'5'
b'1',b'SKYSCAPE',2012-08-30,b'5'
b'1',b'LITTLE A',2012-08-02,b'5'
b'1',b'DAY ONE',2012-07-05,b'5'
b'1',b'FAMILYHOOD',2012-04-17,b'5'
b'1',b'AMAZON SILK',2011-09-29,b'5'
b'1',b'KINDLE FIRE',2011-09-28,b'5'
b'1',b'MYHABIT',2011-07-20,b'5'
b'1',b'WHISPERCAST',2011-05-05,b'5'
b'1',b'GAMECIRCLE',2010-12-22,b'5'
b'1',b'JUNGLEE',2010-11-29,b'5'
b'1',b'WHISPERSYNC',2009-01-15,b'5'
b'1',b'CLOUDFRONT',2008-09-15,b'5'
b'1',b'IMPACT COMPUTING',2019-08-09,b'5'
b'1',b'BOX FORT STUDIOS',2019-08-05,b'5'
b'1',b'AMAZON ALEXA',2019-08-05,b'5'
b'1',b'AMAZON RE:MARS',2019-07-17,b'5'
b'1',b'ENTERTAINMENT ON DRAFT',2019-06-28,b'5'
b'1',b'NIMBLE STUDIO',2019-06-26,b'5'
b'1',b'NIMBLE COLLECTIVE',2019-06-26,b'5'
b'1',b'AMAZON TEXTRACT',2019-06-25,b'5'
b'1',b'Amazon Adcon',2019-06-14,b'5'
b'1',b'THE SLUMBER PROJECT',2019-06-11,b'5'
b'1',b'LEATHER ARCHITECT',2019-06-11,b'5'
b'1',b'ALEXA BUILT-IN',2019-05-21,b'5'
b'1',b'FBA',2019-05-14,b'5'
b'1',b'MOVIAN',2019-05-13,b'5'
b'1',b'movian',2019-05-13,b'5'
b'1',b'ALKOVE',2019-05-03,b'5'
b'1',b'Alkove',2019-05-03,b'5'
b'1',b'TOO OLD TO DIE YOUNG',2019-05-02,b'5'
b'1',b'CLOUDENDURE',2019-05-02,b'5'
b'1',b'FIND. BY AMAZON',2019-04-23,b'5'
b'1',b'find amazon',2019-04-22,b'5'
b'1',b'AWS DEEPRACER LEAGUE',2019-04-16,b'5'
b'1',b'AWS DATASYNC',2019-04-16,b'5'
b'1',b'AWS DEEPRACER',2019-04-16,b'5'
b'1',b'AWS ROBOMAKER',2019-04-16,b'5'
b'1',b'CORRETTO',2019-04-16,b'5'
b'1',b'FIND.',2019-04-16,b'5'
b'1',b'AWS OUTPOSTS',2019-04-16,b'5'
b'1',b'AWS GRAVITON',2019-04-16,b'5'
b'1',b'FIRECRACKER',2019-04-16,b'5'
b'1',"b'ALEXA, WHERES MY STUFF?'",2019-04-15,b'5'
b'1',b'AMAZON WORKLINK',2019-04-15,b'5'
b'1',b'find.',2019-04-15,b'5'
b'1',b'aws robomaker',2019-04-11,b'5'
b'1',b'aws control tower',2019-04-02,b'5'
b'1',b'AWS CONTROL TOWER',2019-04-01,b'5'
b'1',b'neo',2019-03-29,b'5'
b'1',b'NEO',2019-03-28,b'5'
b'1',b'AWS INFERENTIA',2019-03-27,b'5'
b'1',b'qldb',2019-03-27,b'5'
b'1',b'QLDB',2019-03-26,b'5'
b'1',b'AWS IS HOW',2019-03-26,b'5'
b'1',b'elastic beanstalk',2019-03-22,b'5'
b'1',b'RING HALO',2019-03-21,b'5'
b'1',b'ELASTIC BEANSTALK',2019-03-21,b'5'
b'1',b'RING NET',2019-03-20,b'5'
b'1',b'BELEI',2019-03-20,b'5'
b'1',b'BE',2019-03-20,b'5'
b'1',b'FO',2019-03-19,b'5'
b'1',b'ECHO INPUT',2019-03-19,b'5'
b'1',b'ECHO LINK',2019-03-19,b'5'
b'1',b'ECHO SUB',2019-03-19,b'5'
b'1',b'ECHO AUTO',2019-03-19,b'5'
b'1',b'f',2019-03-18,b'5'
b'1',b'FRUSTRATION FREE SETUP',2019-03-15,b'5'
b'1',b'echo link',2019-03-14,b'5'
b'1',b'BUG DIARIES',2019-03-14,b'5'
b'1',b'COSTUME QUEST',2019-03-11,b'5'
b'1',b'FREEDIVE',2019-03-06,b'5'
b'1',b'RE:INVENT',2019-03-05,b'5'
b'1',b're:invent invent',2019-03-04,b'5'
b'1',b'AWS',2019-03-04,b'5'
b'1',b'LEAGUE OF OUTSTANDING KIDS LOOK',2019-02-19,b'5'
b'1',b'A VOICE IS ALL YOU NEED',2019-02-18,b'5'
b'1',b'JUST ASK',2019-02-11,b'5'
b'1',b'Ravenna home',2019-01-15,b'5'
b'1',b'RAVENNA HOME',2019-01-10,b'5'
b'1',b'S CABLE STITCH',2019-01-09,b'5'
b'1',b'LOL:LAST ONE LAUGHING',2018-12-18,b'5'
b'1',b'FIRE TV RECAST',2018-12-04,b'5'
b'1',b'LEVEL',2018-12-03,b'5'
b'1',b'THREE QUEENS BLEND',2018-11-21,b'5'
b'1',b'AMAZON PAY',2018-11-20,b'5'
b'1',b'amazon pay',2018-11-19,b'5'
b'1',b'MUSIC',2018-11-12,b'5'
b'1',b'AMAZONCROSSING',2018-11-07,b'5'
b'1',b'COMIXOLOGY',2018-11-07,b'5'
b'1',b'AMAZONENCORE',2018-11-07,b'5'
b'1',b'RING BEAMS',2018-11-06,b'5'
b'1',b'jet city',2018-11-05,b'5'
b'1',b'amazonencore amazon encore',2018-11-05,b'5'
b'1',b'47north north',2018-11-05,b'5'
b'1',b'thomas & mercer',2018-11-05,b'5'
b'1',b'two lions',2018-11-05,b'5'
b'1',b'amazoncrossing amazon crossing',2018-11-05,b'5'
b'1',b'netbright bright',2018-10-31,b'5'
b'1',b'NETBRIGHT',2018-10-31,b'5'
b'1',b'READYBRIGHT',2018-10-31,b'5'
b'1',b'MR BEAMS',2018-10-25,b'5'
b'1',b'HOUSE & SHIELDS CLOTHING COMPANY',2018-10-24,b'5'
b'1',b'ARTHUR HARVEY',2018-10-24,b'5'
b'1',b'NEIGHBORS',2018-10-19,b'5'
b'1',b'NEIGHBORS BY RING',2018-10-19,b'5'
b'1',b'GAMEON MASTERS',2018-10-19,b'5'
b'1',b'AMAZON CHIME',2018-10-12,b'5'
b'1',b'THIS GIANT BEAST THAT IS THE GLOBAL ECONOMY',2018-10-08,b'5'
b'1',b'FREE DIVE',2018-10-02,b'5'
b'1',b'REBELLION BREAD',2018-09-25,b'5'
b'1',b'Amazon',2018-09-24,b'5'
b'1',b'SWISHIP',2018-09-20,b'5'
b'1',b'AMAZON WEB SERVICES',2018-09-12,b'5'
b'1',b'FIRE TV CUBE',2018-09-12,b'5'
b'1',b'aws',2018-09-07,b'5'
b'1',b'fire tv cube',2018-09-07,b'5'
b'1',b'amazon 1-click',2018-09-05,b'5'
b'1',b'CHIME',2018-08-24,b'5'
b'1',b'AMAZON REDSHIFT SPECTRUM',2018-08-23,b'5'
b'1',b'PRIME',2018-08-23,b'5'
b'1',b'lore',2018-08-15,b'5'
b'1',b'BLAZINGTEXT',2018-08-14,b'5'
b'1',b'LORE',2018-08-14,b'5'
b'1',b'AMAZON RING',2018-08-14,b'5'
b'1',b'QUIVELA',2018-08-13,b'5'
b'1',b'FLEETIQ',2018-08-13,b'5'
b'1',b'RING',2018-08-05,b'5'
b'1',b'EAT. RACE. WIN.',2018-07-31,b'5'
b'1',b'eat race win',2018-07-31,b'5'
b'1',b'Prime',2018-07-27,b'5'
b'1',b'music',2018-07-13,b'5'
b'1',b'ALEXA ONBOARD',2018-07-09,b'5'
b'1',b'AMAZON BLINK',2018-07-09,b'5'
b'1',b'PRIME DAY',2018-07-02,b'5'
b'1',b'TASTE OF PLACE',2018-06-27,b'5'
b'1',b'TRANSPARENCY',2018-06-26,b'5'
