Tag:,Freq:
<html>,1
<body>,1
<sec-document>,1
<sec-header>,1
<acceptance-datetime>,1
<document>,106
<type>,106
<sequence>,106
<filename>,106
<description>,106
<text>,106
"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">",8
<!-- Document created using Wdesk 1 -->,8
<!-- Copyright 2019 Workiva -->,8
<title>,95
<div>,1427
"<a name=""s7DECB104277456FDA408D07E49021E1A"">",1
"<div style=""line-height:120%;font-size:10pt;"">",453
"<a href=""#sB35C52572A45505E9A3247019C860F91"" style=""font-family:inherit;font-size:10pt;"">",75
"<font style=""font-family:inherit;font-size:10pt;"">",15640
<br/>,9340
"<div style=""line-height:120%;text-align:center;font-size:10pt;"">",61
"<div style=""padding-left:0px;text-indent:0px;line-height:normal;padding-top:10px;"">",164
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:98.08429118773945%;border-collapse:collapse;text-align:left;"">",2
<tr>,7964
"<td colspan=""1"">",3
"<td style=""width:100%;"">",3
"<td style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;border-top:1px solid #000000;"">",14
"<div style=""overflow:hidden;height:5px;font-size:10pt;"">",2
"<div style=""line-height:120%;text-align:center;font-size:16pt;"">",3
"<font style=""font-family:inherit;font-size:16pt;font-weight:bold;"">",3
"<div style=""line-height:120%;text-align:center;font-size:11pt;"">",1
"<font style=""font-family:inherit;font-size:11pt;font-weight:bold;"">",1
"<font style=""font-family:inherit;font-size:7pt;"">",9
"<div style=""line-height:120%;text-align:center;font-size:7pt;"">",3
"<div style=""line-height:120%;font-size:9pt;"">",28
"<font style=""font-family:inherit;font-size:9pt;font-weight:bold;"">",5
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:98.08429118773945%;border-collapse:collapse;text-align:left;"">",4
"<td colspan=""2"">",20
"<td style=""width:6%;"">",8
"<td style=""width:94%;"">",2
"<td style=""vertical-align:top;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",261
"<div style=""text-align:left;font-size:9pt;"">",174
"<font style=""font-family:Wingdings;font-size:9pt;"">",2
"<div style=""line-height:120%;text-align:left;font-size:8pt;"">",2
"<font style=""font-family:inherit;font-size:8pt;font-weight:bold;"">",616
"<div style=""line-height:120%;text-align:center;font-size:9pt;"">",2
"<div style=""line-height:120%;text-align:left;font-size:9pt;"">",2
"<div style=""line-height:120%;text-align:center;font-size:22pt;"">",1
"<font style=""font-family:inherit;font-size:22pt;font-weight:bold;"">",1
"<div style=""line-height:120%;text-align:center;font-size:8pt;"">",7
"<div style=""line-height:120%;font-size:8pt;"">",1
"<td colspan=""3"">",8
"<td style=""width:48%;"">",2
"<td style=""width:3%;"">",3
"<td style=""width:49%;"">",5
"<div style=""text-align:center;font-size:8pt;"">",594
"<td style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",1172
"<div style=""text-align:left;font-size:8pt;"">",191
"<font style=""font-family:inherit;font-size:8pt;"">",247
"<div style=""text-align:center;font-size:6.5pt;"">",6
"<font style=""font-family:inherit;font-size:6.5pt;font-weight:bold;"">",6
"<div style=""line-height:120%;text-align:center;font-size:7.5pt;"">",1
"<font style=""font-family:inherit;font-size:7.5pt;font-weight:bold;"">",1
"<div style=""line-height:120%;padding-top:6px;text-align:center;font-size:8pt;"">",3
"<div style=""text-align:left;font-size:6.5pt;"">",1
"<font style=""font-family:inherit;font-size:6.5pt;"">",1
"<div style=""line-height:120%;padding-top:6px;text-indent:24px;font-size:8pt;"">",7
"<font style=""font-family:Wingdings;font-size:8pt;"">",17
"<div style=""line-height:120%;padding-top:6px;text-indent:24px;font-size:10pt;"">",2
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:92.33716475095785%;border-collapse:collapse;text-align:left;"">",1
"<td colspan=""6"">",2
"<td style=""width:21%;"">",1
"<td style=""width:1%;"">",476
"<td style=""width:25%;"">",3
"<div style=""overflow:hidden;font-size:10pt;"">",3255
"<div style=""font-size:8pt;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:94.6360153256705%;border-collapse:collapse;text-align:left;"">",1
"<td colspan=""4"">",6
"<td style=""width:80%;"">",1
"<td style=""width:18%;"">",2
"<td style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",91
"<td style=""vertical-align:bottom;padding-top:2px;padding-bottom:2px;"">",78
"<div style=""text-align:right;font-size:8pt;"">",29
"<td style=""vertical-align:bottom;"">",383
"<div style=""text-align:left;font-size:10pt;"">",4993
"<td colspan=""2"" style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",425
"<div style=""text-align:center;"">",75
"<hr style=""page-break-after:always""/>",81
"<a name=""sB35C52572A45505E9A3247019C860F91"">",1
"<font style=""font-family:inherit;font-size:10pt;font-weight:bold;"">",225
"<font style=""font-family:inherit;font-size:10pt;color:#000000;font-weight:bold;text-decoration:none;"">",1
"<div style=""line-height:120%;padding-top:6px;text-align:center;font-size:10pt;"">",15
"<font style=""font-family:inherit;font-size:9pt;"">",406
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:98.828125%;border-collapse:collapse;text-align:left;"">",1
"<td style=""width:10%;"">",41
"<td style=""width:83%;"">",1
"<td style=""width:7%;"">",12
"<td style=""vertical-align:top;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",5
"<td colspan=""2"" style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",6
"<div style=""text-align:center;font-size:10pt;"">",63
"<div style=""font-size:10pt;"">",52
"<a href=""#s52F7FEDACEA351758F06B0012FFEA2EF"" style=""font-family:inherit;font-size:10pt;"">",2
"<div style=""text-align:right;font-size:10pt;"">",2925
"<a href=""#s460C5806548657929C88FB70AB80F296"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sE7D1C0C49D9B51B3A0A5E540A42F151A"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sD7E56E07621058DFB04A25A8C82BE0DE"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s908A0C0D2B78552ABFF390618E82953A"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s4CFEE1FA2DBF54618987D6A9532A8CB9"" style=""font-family:inherit;font-size:10pt;"">",2
"<div style=""overflow:hidden;height:20px;font-size:10pt;"">",19
"<td colspan=""2"" style=""vertical-align:top;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",4
"<a href=""#sACD6C57ADF3054099311144A3EA79DC3"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sD19FEB034B225E40A520DE5AB522BBBB"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s23DD99C6E0DE57B7B58AA8391850A6BE"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s2F7059C3CD8A5DE2BD95B349AC0B045C"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sB4CED683083F59A8917E158CFF7A442F"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sD7C792EE0E8D55C3B3CE18C55AA0F814"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s5E4154216DFD594D945B7A6BC43505C9"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sBDB5F46E549259678105DEFD66A60D30"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s8AF121E9E5EB5E76A5211D2DDE8C23C6"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s8BAD55D80F8A5F2A84DB287ABD01B1E4"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sBF42D44D39B95FAEB03E7927005E4477"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s52A8D2D8ECC654C58B2E736DC0C72964"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#s4B58BA831C6457F5BB813330E2CF991D"" style=""font-family:inherit;font-size:10pt;"">",2
"<a href=""#sF994DEEFE73D5197B11554E409B8620F"" style=""font-family:inherit;font-size:10pt;"">",3
"<a href=""#s3E4C8013ABC95E46A37AC9AF28873055"" style=""font-family:inherit;font-size:10pt;"">",1
"<a href=""#sCFAC74801AA7553C96DC35A7C24C00F5"" style=""font-family:inherit;font-size:10pt;"">",2
"<a name=""s9D11BF8A991B57678C2204C5773169AD"">",1
"<a name=""s52F7FEDACEA351758F06B0012FFEA2EF"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:100%;border-collapse:collapse;text-align:left;"">",22
"<td style=""width:11%;"">",50
"<td style=""width:89%;"">",13
"<font style=""font-family:inherit;font-size:10pt;font-style:italic;font-weight:bold;"">",211
"<div style=""line-height:120%;padding-top:6px;text-indent:32px;font-size:10pt;"">",379
"<font style=""font-family:inherit;font-size:10pt;font-style:italic;"">",67
"<div style=""line-height:120%;padding-top:12px;text-indent:32px;font-size:10pt;"">",49
"<div style=""line-height:120%;padding-top:18px;font-size:10pt;"">",38
"<font style=""font-family:inherit;font-size:10pt;color:#000000;text-decoration:none;"">",25
"<div style=""line-height:120%;padding-top:6px;font-size:10pt;"">",7
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:100%;border-collapse:collapse;text-align:left;"">",114
"<td colspan=""5"">",2
"<td style=""width:22%;"">",2
"<td style=""width:17%;"">",5
"<td style=""width:59%;"">",11
"<td style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",34
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",169
"<td style=""vertical-align:bottom;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",708
"<td style=""width:13%;"">",16
"<td style=""width:63%;"">",1
"<a name=""s460C5806548657929C88FB70AB80F296"">",1
"<div style=""line-height:120%;padding-top:18px;text-indent:16px;font-size:10pt;"">",149
"<div style=""line-height:120%;padding-top:6px;text-align:left;text-indent:32px;font-size:10pt;"">",46
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-top:6px;font-family:Times New Roman; font-size:10pt;"">",76
"<td style=""width:54px;"">",61
<td>,7250
"<td style=""vertical-align:top"">",131
"<div style=""line-height:120%;font-size:10pt;padding-left:30px;"">",72
"<td style=""vertical-align:top;"">",131
"<div style=""line-height:120%;text-align:left;font-size:10pt;"">",191
"<div style=""line-height:120%;padding-top:6px;text-align:left;text-indent:30px;font-size:10pt;"">",44
"<div style=""line-height:120%;padding-top:6px;text-align:left;font-size:10pt;"">",9
"<a name=""sE7D1C0C49D9B51B3A0A5E540A42F151A"">",1
"<div style=""line-height:120%;padding-top:6px;text-indent:30px;font-size:10pt;"">",48
"<a name=""sD7E56E07621058DFB04A25A8C82BE0DE"">",1
"<td colspan=""9"">",2
"<td style=""width:55%;"">",2
"<td style=""width:14%;"">",5
"<td colspan=""2"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",14
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",9
"<td style=""vertical-align:bottom;background-color:#cceeff;"">",444
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",1
"<td style=""vertical-align:bottom;background-color:#cceeff;border-top:1px solid #000000;"">",90
"<td style=""vertical-align:middle;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",3
"<td style=""vertical-align:middle;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",4
"<td style=""vertical-align:top;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",4
"<td style=""vertical-align:top;border-bottom:3px double #000000;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",2
"<td style=""vertical-align:bottom;border-bottom:3px double #000000;background-color:#cceeff;border-top:1px solid #000000;"">",46
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman; font-size:10pt;"">",113
"<td style=""width:24px;"">",44
"<div style=""line-height:120%;font-size:10pt;padding-left:0px;"">",112
"<div style=""line-height:120%;padding-top:12px;text-align:left;padding-left:0px;text-indent:0px;font-size:10pt;"">",1
"<td colspan=""7"">",2
"<td style=""width:70%;"">",1
"<td style=""vertical-align:top;border-bottom:3px double #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",2
"<td style=""vertical-align:bottom;border-bottom:3px double #000000;border-top:1px solid #000000;"">",39
"<a name=""s908A0C0D2B78552ABFF390618E82953A"">",1
"<a name=""s4CFEE1FA2DBF54618987D6A9532A8CB9"">",1
"<a name=""sE8F7E6A426C95F769D4F48F4EBC97BD4"">",1
"<a name=""sACD6C57ADF3054099311144A3EA79DC3"">",1
"<div style=""line-height:120%;padding-top:6px;text-indent:16px;font-size:10pt;"">",11
"<a name=""sD19FEB034B225E40A520DE5AB522BBBB"">",1
"<td colspan=""21"">",2
"<td style=""width:45%;"">",1
"<td style=""width:8%;"">",19
"<td colspan=""19"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",3
"<td colspan=""3"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;border-top:1px solid #000000;"">",59
"<td style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;border-top:1px solid #000000;"">",21
"<td colspan=""19"" style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",2
"<td colspan=""3"" style=""vertical-align:bottom;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",85
"<td style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;background-color:#cceeff;"">",84
"<td style=""vertical-align:bottom;background-color:#cceeff;padding-top:2px;padding-bottom:2px;"">",84
"<td style=""vertical-align:bottom;padding-right:2px;padding-top:2px;padding-bottom:2px;"">",141
"<td style=""vertical-align:bottom;background-color:#cceeff;padding-right:2px;padding-top:2px;padding-bottom:2px;"">",90
"<td colspan=""2"" style=""vertical-align:bottom;background-color:#cceeff;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",425
"<td colspan=""3"" style=""vertical-align:bottom;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",120
"<div style=""overflow:hidden;height:16px;font-size:10pt;"">",11
"<td colspan=""3"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",83
"<div style=""line-height:120%;padding-left:4px;text-align:left;padding-left:24px;font-size:10pt;"">",2
"<div style=""line-height:120%;padding-left:24px;text-indent:-24px;font-size:10pt;"">",1
"<a name=""s23DD99C6E0DE57B7B58AA8391850A6BE"">",1
"<sup style=""vertical-align:top;line-height:120%;font-size:7pt"">",3
"<div style=""line-height:120%;padding-top:18px;text-indent:18px;font-size:10pt;"">",29
"<div style=""line-height:120%;padding-bottom:18px;padding-top:6px;text-indent:32px;font-size:10pt;"">",1
"<a name=""sF8DAC152869C5762BD89CB0E0EC83E87"">",1
"<div style=""line-height:120%;padding-top:20px;font-size:10pt;"">",1
"<td colspan=""12"">",26
"<td style=""width:62%;"">",9
"<td colspan=""11"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",27
"<td style=""vertical-align:top;padding-left:36px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",2
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:36px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",1
"<div style=""line-height:120%;padding-top:18px;text-indent:32px;font-size:10pt;"">",3
"<a name=""s82E07D80682F5F24BF86E0DB5C124095"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:99.90243902439025%;border-collapse:collapse;text-align:left;"">",6
"<td style=""vertical-align:top;padding-left:28px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",84
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:28px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",77
"<td colspan=""2"" style=""vertical-align:bottom;border-bottom:1px solid #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;"">",94
"<td style=""vertical-align:bottom;border-bottom:1px solid #000000;"">",83
"<td style=""vertical-align:top;background-color:#cceeff;padding-left:52px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",15
"<td style=""vertical-align:bottom;border-bottom:3px double #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;background-color:#cceeff;border-top:1px solid #000000;"">",44
"<td style=""vertical-align:bottom;border-bottom:3px double #000000;background-color:#cceeff;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",44
"<td style=""vertical-align:top;padding-left:52px;padding-top:2px;padding-bottom:2px;padding-right:2px;"">",16
"<td colspan=""2"" style=""vertical-align:bottom;border-bottom:3px double #000000;padding-left:2px;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",3
"<td style=""vertical-align:bottom;border-bottom:3px double #000000;padding-right:2px;padding-top:2px;padding-bottom:2px;border-top:1px solid #000000;"">",8
