SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,(203) 299-8000,5,2,"Title of Each Class, Name of Each Exchange on which Registered"
,Performance Measurement Comparison,6,5,"Measurement PointDecember 31, Booking Holdings Inc, NASDAQComposite Index, S&P 500Index, RDG InternetComposite"
,ISSUER PURCHASES OF EQUITY SECURITIES,8,5,"Period, Total Numberof Shares (orUnits) Purchased, AveragePrice Paid perShare (or Unit), Total Number ofShares (or Units)Purchased as Part ofPublicly AnnouncedPlans or Programs, Maximum Number (orApproximate Dollar Value)of Shares (or Units) that MayYet Be Purchased Under thePlans or Programs"
,SELECTED FINANCIAL DATA,14,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,Operating and Statistical Metrics,3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Operating and Statistical Metrics_2,3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Advertising and other revenues,6,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Marketing,4,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Sales and Other Expenses,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Personnel,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,General and Administrative,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Information Technology,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Depreciation and Amortization,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Other Income (Expense),6,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Income Taxes,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, Change"
,Operating and Statistical Metrics_3,3,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Operating and Statistical Metrics_4,3,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Revenues,4,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Cost of Revenues,1,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Gross Profit,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Marketing_2,4,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Sales and Other Expenses_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Personnel_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,General and Administrative_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Information Technology_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Depreciation and Amortization_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Impairment of Goodwill,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Other Income (Expense)_2,5,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Income Taxes_2,2,4,"Line Item, YE 12/31/2017, YE 12/31/2016, Change"
,Contractual Obligations,8,6,"Contractual Obligations, Total, Less than1 Year, 1 to 3Years, 3 to 5 Years, More than 5 Years"
,Power of Attorney,28,3,"Signature, Title, Date"
,Power of Attorney_2,7,2,"Line Item, Page No"
,CONSOLIDATED BALANCE SHEETS Booking Holdings Inc,35,3,"Line Item,  12/31/2018,  12/31/2017"
