SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,DOCUMENTS INCORPORATED BY REFERENCE,1,2,"Document, Part of Form 10-K into which incorporated"
,Joint Ventures,9,7,"Joint venture, Products, Year organized, Percentageowned by theCompany, Location ofoperation, Joint venture partner, Fiscal 2018 net sales (millions of dollars) (a)"
,Competition,12,2,"Product Type: Engine, Names of Competitors"
,Competition_2,8,2,"Product Type: Drivetrain, Names of Competitors"
,(a) ENGINE,13,3,"Americas, Europe, Asia"
,(a) DRIVETRAIN,13,3,"Americas, Europe, Asia"
,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",3,7,"Line Item,  12/31/2013,  12/31/2014,  12/31/2015,  12/31/2016,  12/31/2017,  12/31/2018"
,Purchase of Equity Securities,10,1,Issuer Purchases of Equity Securities
,Selected Financial Data,21,1,Operating results
,Non-comparable items impacting the Company's earnings per diluted share and net earnings,12,4,"Non-comparable items, 2018, 2017, 2016"
,CONSOLIDATED BALANCE SHEETS BORGWARNER INC. AND CONSOLIDATED SUBSIDIARIES,37,1,ASSETS
,CONSOLIDATED STATEMENTS OF CASH FLOWS BORGWARNER INC. AND CONSOLIDATED SUBSIDIARIES,50,1,OPERATING
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued),10,8,"Funded status, (37.1, ), (173.8, (43.2, (145.4, (86.5, (107.0"
,REPORTING SEGMENTS AND RELATED INFORMATION  21,8,1,2018 Segment information
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_2,8,1,2017 Segment information
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_3,8,1,2016 Segment information
