SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Securities registered pursuant to Section 12(b) of the Act,1,2,"Title of each class, Name of each exchange on which registered"
,DOCUMENTS INCORPORATED BY REFERENCE,1,2,"Document, Where Incorporated"
,General,4,2,"Brand, Number of Dealerships at December 31, 2018"
,Wholesales,20,4,"Line Item, 2016, 2017, 2018"
,"Retail Sales, Industry Volume, and Market Share",21,4,"Line Item, 2016, 2017, 2018"
,U.S. Sales by Type,4,3,"Line Item, U.S. Retail Sales, U.S. Wholesales"
,FORD CREDIT SEGMENT,6,4,"Line Item, 2016, 2017, 2018"
,EMPLOYMENT DATA,9,3,"Line Item, 2017, 2018"
,Properties,6,2,"Automotive Business Units, Plants"
,Executive Officers of Ford. ITEM 4A,10,4,"Name, Position, PositionHeld Since, Age"
,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",1,5,"Line Item, FirstQuarter, SecondQuarter, ThirdQuarter, FourthQuarter"
,Selected Financial Data,17,6,"SUMMARY OF INCOME, 2014, 2015, 2016, 2017, 2018"
,CREDIT RATINGS,4,6,"Line Item, IssuerDefault / Corporate / Issuer Rating, Long-Term Senior Unsecured, Outlook / Trend, Short-TermUnsecured, Minimum  Long-Term Investment Grade Rating"
,Selected Income Statement Information,11,7,"Line Item, Automotive, Mobility, Other (a), Subtotal, Ford Credit, Consolidated"
,Selected Balance Sheet Information,16,5,"Assets, Company excluding Ford Credit, Ford Credit, Eliminations, Consolidated"
,Selected Balance Sheet Information_2,13,1,Liabilities
,Selected Cash Flow Information,18,5,"Cash flows from operating activities, Company excluding Ford Credit, Ford Credit, Eliminations, Consolidated"
,Selected Cash Flow Information_2,9,1,Cash flows from investing activities
,Selected Cash Flow Information_3,9,1,Cash flows from financing activities
,"Selling, administrative, and other expenses",9,3,"Line Item, 2017 Lower/(Higher) 2016, 2018 Lower/(Higher) 2017"
,Equity,6,3,"Line Item, 2017 vs 2016 Increase/(Decrease), 2018 vs 2017 Increase/(Decrease)"
,Sensitivity Analysis,3,3,"Factor, U.S. Plans, Non-U.S. Plans"
,Management's Discussion and Analysis of Financial Condition and Results of Operations (Continued),2,3,"Factor, U.S. Plans, Non-U.S. Plans"
