SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Competitive Position and Vehicle Sales,4,4,"Line Item, 2018, 2017, 2016"
,Competitive Position and Vehicle Sales_2,11,10,"Total in GM markets, 74,732, 8,380, 11.2, 75,241, 8,915, 11.8, 74,428, 8,847, 11.9"
,Competitive Position and Vehicle Sales_3,4,4,"Line Item, 2018, 2017, 2016"
,Executive Officers of the Registrant,9,3,"Name (Age), Present GM Position (Effective Date), Positions Held During the Past Five Years (Effective Date)"
,Purchases of Equity Securities,4,5,"Line Item, Total Number of Shares Purchased(a), Weighted Average Price Paid per Share, Total Number of Shares Purchased Under Announced Programs(b), Approximate Dollar Value of Shares That May Yet be Purchased Under Announced Programs"
,Selected Financial Data,11,5,"2018, 2017, 2016, 2015, 2014"
,Adjusted automotive free cash flow,11,4,"Line Item, 2018, 2017, 2016"
,Adjusted automotive free cash flow_2,3,4,"Line Item, 2018, 2017, 2016"
,Adjusted automotive free cash flow_3,6,3,"Line Item, Amount, Per Share"
,Adjusted automotive free cash flow_4,4,4,"Line Item, Income before income taxes, Income tax expense, Effective tax rate"
,Adjusted automotive free cash flow_5,3,4,"Line Item, 2018, 2017, 2016"
,Adjusted automotive free cash flow_6,7,4,"Line Item, 2018, 2017, 2016"
,Overview,4,2,"Line Item, Year Ending December 31, 2019"
,Automotive Financing - GM Financial Summary and Outlook,5,4,"Line Item, Residual Value, Units, Percentage"
,Total Net Sales and Revenue,8,6,"2018, 2017, Volume, Mix, Price, Other"
,Total Net Sales and Revenue_2,8,6,"2017, 2016, Volume, Mix, Price, Other"
,Automotive and Other Cost of Sales,7,7,"Line Item, 2018, 2017, Volume, Mix, Cost, Other"
,Automotive and Other Cost of Sales_2,7,7,"Line Item, 2017, 2016, Volume, Mix, Cost, Other"
,"Automotive and Other Selling, General and Administrative Expense",1,5,"Line Item, 2018, 2017, 2016, Favorable/ (Unfavorable)"
,"Interest Income and Other Non-operating Income, net",1,5,"Line Item, 2018, 2017, 2016, Favorable/ (Unfavorable)"
,Income Tax Expense,1,5,"Line Item, 2018, 2017, 2016, Favorable/ (Unfavorable)"
,GM North America,6,8,"Line Item, 2018, 2017, Volume, Mix, Price, Cost, Other"
,GM North America_2,6,8,"Line Item, 2017, 2016, Volume, Mix, Price, Cost, Other"
,GM International,8,8,"Line Item, 2018, 2017, Volume, Mix, Price, Cost, Other"
,GM International_2,8,8,"Line Item, 2017, 2016, Volume, Mix, Price, Cost, Other"
,GMI EBIT-Adjusted,3,4,"Line Item, 2018, 2017, 2016"
,GM Cruise,1,5,"Line Item, 2018, 2017, 2016, Favorable/ (Unfavorable)"
,GM Financial,5,5,"Line Item, 2018, 2017, 2016, Amount"
,Automotive Cash Flow (Dollars in Billions),9,4,"Line Item, Years Ended December 31, 2018 vs. 2017 Change, 2017 vs. 2016 Change"
,Automotive Cash Flow (Dollars in Billions)_2,8,4,"Line Item, Years Ended December 31, 2018 vs. 2017 Change, 2017 vs. 2016 Change"
,Automotive Cash Flow (Dollars in Billions)_3,9,4,"Line Item, Years Ended December 31, 2018 vs. 2017 Change, 2017 vs. 2016 Change"
,Status of Credit Ratings,4,5,"Line Item, Corporate, Revolving Credit Facilities, Senior Unsecured, Outlook"
,GM Cruise Cash Flow (Dollars in Billions),4,4,"Line Item, Years Ended December 31, 2018 vs. 2017 Change, 2017 vs. 2016 Change"
,GM Financial Cash Flow (Dollars in Billions),4,4,"Line Item, Years Ended December 31, 2018 vs. 2017 Change, 2017 vs. 2016 Change"
,Contractual Obligations and Other Long-Term Liabilities,14,6,"Line Item, 2019, 2020-2021, 2022-2023, 2024 and after, Total"
,Valuation of GM Financial Equipment on Operating Leases Assets and Residuals,5,2,"Line Item, Impact to Depreciation Expense"
