SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,"THE HOME DEPOT, INC",4,3,"Line Item, DelawareState or other jurisdiction of incorporation or organization, 95-3261426(I.R.S. Employer Identification No.)"
,COMMONLY USED OR DEFINED TERMS,41,2,"Term, Definition"
,Properties,4,4,"square footage in millions, Owned, Leased, Total Square Footage"
,Properties_2,28,2,"U.S, Stores"
,Properties_3,33,3,"Canada, Stores, Mexico"
,Issuer Purchases of Equity Securities,4,5,"Period, Total Number ofShares Purchased, Average Price Paid Per Share, Total Number of Shares Purchased as Part of PubliclyAnnounced Program, Dollar Value of Shares that May Yet Be Purchased Under the Program"
,Executive Summary,9,2,"dollars in millions, except per share data, Fiscal"
,Results of Operations and Non-GAAP Measures,16,2,"dollars in millions, of Net Sales"
,Fiscal 2018 includes 53 weeks. Fiscal 2017 and fiscal 2016 include 52 weeks. Certain percentages may not sum to totals due to rounding,8,2,"Selected financial and sales data, Fiscal"
,Return on Invested Capital,8,4,"dollars in millions, YE 2018, YE 2017, YE 2016"
,Contractual Obligations,8,6,"in millions, Total, Less than 1 Year, 1 to 3 Years, 3 to 5 Years, More Than 5 Years"
,"CONSOLIDATED BALANCE SHEETS THE HOME DEPOT, INC",33,3,"in millions, except per share data, February 3, 2019, January 28, 2018"
,"CONSOLIDATED STATEMENTS OF EARNINGS THE HOME DEPOT, INC",22,2,"in millions, except per share data, Fiscal"
,"CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME THE HOME DEPOT, INC",7,4,"in millions, YE 2018, YE 2017, YE 2016"
,"CONSOLIDATED STATEMENTS OF STOCKHOLDERS' EQUITY THE HOME DEPOT, INC",29,2,"in millions, Fiscal"
,"CONSOLIDATED STATEMENTS OF CASH FLOWS THE HOME DEPOT, INC",38,4,"in millions, YE 2018, YE 2017, YE 2016"
,Receivables,5,3,"in millions, February 3, 2019, January 28, 2018"
,"Property and Equipment, including Capitalized Lease Assets",3,2,"Line Item, Life"
,Goodwill,6,2,"in millions, Fiscal"
,Vendor Allowances,2,2,"in millions, Fiscal"
,Advertising Expense,2,2,"in millions, Fiscal"
,ASU No. 2014-09,3,4,"in millions, AsReported, ASU No. 2014-09 Impact, Excluding ASU No. 2014-09Impact"
,ASU No. 2014-09_2,4,4,"in millions, AsReported, ASU No. 2014-09 Impact, ExcludingASU No. 2014-09Impact"
