SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,DOCUMENTS INCORPORATED BY REFERENCE,1,2,"Document, Parts IntoWhich Incorporated"
,General Business,5,4,"Line Item, 2018, 2017, 2016"
,Executive Officers of the Registrant,6,3,"Name, Age, Position with the Company"
,Properties,4,4,"Line Item, 2018, 2017, 2016"
,Properties_2,4,4,"Line Item, 2018, 2017, 2016"
,Properties_3,6,6,"Geographic Region, Total, Owned, Leased, Subject toa GroundLease, Partly Owned and PartlyLeased"
,Properties_4,22,4,"Location, Primary Function, Owned or Leased, Square Footage (thousands)"
,"Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",5,5,"Line Item, TotalNumberof SharesPurchased, AveragePrice perShare ($), Number of SharesPurchased underProgram, OpenAuthorizationRemaining ($)"
,Selected Financial Data,20,6,"Line Item, 2018, 2017, 2016, 2015, 2014"
,Results of Operations,30,3,"Line Item, Amount, to Sales"
,Contractual Obligations and Commitments,9,5,"Total, Less than1 Year, 1 - 3Years, 3 - 5Years, More than5 Years"
,Changes in Comparable Sales,3,4,"Line Item, 2018, 2017, 2016"
,"Adjusted Diluted Earnings Per Share Attributable to Macy's, Inc. Shareholders",10,4,"Line Item, 2018, 2017, 2016"
,Adjusted EBIT and EBITDA as a Percent to Net Sales,15,4,"Line Item, 2018, 2017, 2016"
,ROIC,28,4,"Line Item, 2018, 2017, 2016"
,Consolidated Financial Statements and Supplementary Data,8,2,"Line Item, Page"
,https://www.macysinc.com,10,4,"Name, Age, Director Since, Principal Occupation"
,"April 3, 2019 Pursuant to the requirements of the Securities Exchange Act of 1934, this report has been signed below by the following persons on behalf of the Registrant and in the capacities indicated on",9,3,"Jeff Gennette, Paula A. Price, Felicia Williams"
,"April 3, 2019 Pursuant to the requirements of the Securities Exchange Act of 1934, this report has been signed below by the following persons on behalf of the Registrant and in the capacities indicated on_2",8,2,"Line Item, Page"
,"(millions, except per share data) CONSOLIDATED STATEMENTS OF INCOME MACY'S, INC",19,4,"Line Item, 2018, 2017, 2016"
,"(millions) CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME MACY'S, INC",10,4,"Line Item, 2018, 2017, 2016"
,"(millions) CONSOLIDATED STATEMENTS OF CHANGES IN SHAREHOLDERS' EQUITY MACY'S, INC",30,9,"Line Item, CommonStock, AdditionalPaid-InCapital, AccumulatedEquity, TreasuryStock, AccumulatedOtherComprehensiveIncome (Loss), TotalMacy's, Inc.Shareholders'Equity, Non-controllingInterest, Total Shareholders' Equity"
,"(millions) CONSOLIDATED STATEMENTS OF CASH FLOWS MACY'S, INC",40,4,"Line Item, 2018, 2017, 2016"
,Advertising,6,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued),3,4,"Line Item, 2018, 2017, 2016"
,Net sales Revenue 2,5,4,"Line Item, 2018, 2017, 2016"
,Gift Cards and Customer Loyalty Programs,5,4,"Line Item, 2018, 2017, 2016"
,"Restructuring, Impairment, Store Closing and Other Costs 3",5,4,"Line Item, 2018, 2017, 2016"
,Properties and Leases 4,11,4,"Line Item, CapitalizedLeases, OperatingLeases, Total"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_2,10,4,"Line Item, 2018, 2017, 2016"
,Goodwill and Other Intangible Assets 5,7,3,"Line Item, Amortizing intangible assets, Capitalized Software"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_3,9,4,"Line Item, 2018, 2017, 2016"
,(millions),20,4,"Line Item, 2018, 2017, 2016"
,Accounts Payable and Accrued Liabilities 7,5,4,"Line Item, 2018, 2017, 2016"
,Taxes 8,4,4,"Line Item, Current, Deferred, Total"
,Taxes 8_2,9,4,"Line Item, 2018, 2017, 2016"
,Retirement Plans 9,6,4,"Line Item, 2018, 2017, 2016"
,Pension Plan,19,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_4,15,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_5,2,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_6,4,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_7,21,5,"Line Item, Total, Quoted Prices inActive Markets forIdentical Assets(Level 1), SignificantObservableInputs(Level 2), SignificantUnobservableInputs(Level 3)"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_8,21,5,"Line Item, Total, Quoted Prices inActive Markets forIdentical Assets(Level 1), SignificantObservableInputs(Level 2), SignificantUnobservableInputs(Level 3)"
,Supplementary Retirement Plan,22,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_9,15,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_10,1,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_11,1,4,"Line Item, 2018, 2017, 2016"
,Postretirement Health Care and Life Insurance Benefits 10,24,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_12,14,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_13,1,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_14,1,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_15,3,3,"Line Item, 2018, 2017"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_16,3,3,"Line Item, 1 - PercentagePoint Increase, 1 - PercentagePoint Decrease"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_17,8,3,"Line Item, ExpectedBenefitPayments, ExpectedFederalSubsidy"
,Stock-Based Compensation 11,4,4,"Line Item, 2018, 2017, 2016"
,Stock Options,5,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_18,8,5,"Line Item, Shares, WeightedAverageExercisePrice, WeightedAverageRemainingContractualLife, AggregateIntrinsicValue"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_19,3,4,"Line Item, 2018, 2017, 2016"
,Restricted Stock Units,2,4,"Line Item, 2018, 2017, 2016"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_20,8,3,"Line Item, Shares, WeightedAverageGrant DateFair Value"
,S TO CONSOLIDATED FINANCIAL STATEMENTS -- (Continued)_21,19,6,"Line Item, CommonStockIssued, DeferredCompensationPlans, Other, Total, CommonStockOutstanding"
