----------
Document:,10-K
----------
Table Title:,STOCK OPTIONS
Line Item,SHARES,WEIGHTED AVERAGE OPTION PRICE
"Options outstanding as of May 31, 2018",93.2,40.73
Exercised,-18.2,29.70
Forfeited,-1.8,66.66
Granted,18.1,81.79
"Options outstanding as of May 31, 2019",91.3,50.59
FootNotes:
1,Includes stock appreciation rights transactions.


Table Title:,RESTRICTED STOCK AND RESTRICTED STOCK UNITS
Line Item,SHARES,WEIGHTED AVERAGE GRANT DATE  FAIR VALUE
"Nonvested as of May 31, 2018",2.8,59.14
Vested,-0.6,59.01
Forfeited,-0.3,66.24
Granted,2.5,80.95
"Nonvested as of May 31, 2019",4.4,70.93


