SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,(305) 539-6000,1,2,"Title of each class, Name of each exchange on which registered"
,Industry,5,4,"Year, North America, Europe, Asia/Pacific"
,Industry_2,5,7,"Year, Weighted-AverageSupply ofBerthsMarketedGlobally, Royal Caribbean Cruises Ltd. Total Berths, GlobalCruiseGuests, North American Cruise Guests, European Cruise Guests, Asia/Pacific Cruise Guests"
,Cruise Ships and Itineraries,31,5,"Ship, Year ShipBuilt, Year ShipEntered/Will Enter Service, ApproximateBerths, Primary Areas of Operation"
,Cruise Ships and Itineraries_2,39,5,"Ship, Year ShipBuilt, Year ShipEntered/Will Enter Service, ApproximateBerths, Primary Areas of Operation"
,Cruise Ships and Itineraries_3,25,3,"Ship, Expected to EnterService, ApproximateBerths"
,Management's Discussion and Analysis of Financial Condition and Results of Operations,4,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,Executive Officers of the Company,8,3,"Name, Age, Position"
,Performance Graph,2,7,"Royal Caribbean Cruises Ltd, 100.00, 176.94, 220.72, 182.99, 271.25, 227.46"
,Management's Discussion and Analysis of Financial Condition and Results of Operations_2,20,6,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016, YE 12/31/2015, YE 12/31/2014"
,Financial Statements and Supplementary Data,23,4,"Net Income attributable to Royal Caribbean Cruises Ltd, 1,811,042, 1,625,133, 1,283,388"
,Financial Statements and Supplementary Data_2,4,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,Other expense,13,5,"Line Item, YE 12/31/2018, YE , YE 12/31/2017, YE 12/31/2016"
,Other expense_2,18,5,"Line Item, YE 12/31/2018, YE , YE 12/31/2017, YE 12/31/2016"
,2019 Full Year,15,3,"Line Item, As Reported, Constant Currency"
,2019 First Quarter,15,3,"Line Item, As Reported, Constant Currency"
,2019 First Quarter_2,5,6,"Ranking, Q1, Q2, Q3, Q4, YTD 2019"
,2019 First Quarter_3,5,2,"Currency Abbreviation, Currency"
,Interest Rate Risk,3,6,"Debt Instrument, Swap Notional as of December 31, 2018, Maturity, Debt Fixed Rate, Swap Floating Rate: LIBOR plus, All-in Swap Floating Rate as of December 31, 2018"
,Interest Rate Risk_2,6,5,"Debt Instrument, Swap Notional as of December 31, 2018, Maturity, Debt Floating Rate, All-in Swap Fixed Rate"
,Financial Statements and Supplementary Data_3,13,5,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date/ Period End Date"
,Financial Statements and Supplementary Data_4,13,5,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date/ Period End Date"
,Financial Statements and Supplementary Data_5,11,5,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date/ Period End Date"
,Financial Statements and Supplementary Data_6,25,5,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date/ Period End Date"
,Financial Statements and Supplementary Data_7,6,5,"Exhibit Number, Exhibit Description, Form, Exhibit, Filing Date/ Period End Date"
,SIGNATURES,1,2,"By, s/ JASON T. LIBERTY"
,CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME (LOSS) ROYAL CARIBBEAN CRUISES LTD,22,4,"Operating Income, 1,894,801, 1,744,056, 1,477,205"
,CONSOLIDATED BALANCE SHEETS ROYAL CARIBBEAN CRUISES LTD,24,3,"Total assets, 27,698,270, 22,360,926"
,CONSOLIDATED STATEMENTS OF CASH FLOWS ROYAL CARIBBEAN CRUISES LTD,41,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,CONSOLIDATED STATEMENTS OF CASH FLOWS - CONTINUED ROYAL CARIBBEAN CRUISES LTD,16,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,CONSOLIDATED STATEMENTS OF SHAREHOLDERS' EQUITY ROYAL CARIBBEAN CRUISES LTD,25,8,"Balances at January 1, 2016, 2,339, 3,297,619, 6,944,862, (1,328,433, ), (853,348, 8,063,039"
,Cruise operating expenses,6,2,"Line Item, Years"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD,11,4,"Total assets acquired, 2,941,978, 13,500, 2,955,478"
,Disaggregated Revenues,2,4,"Total revenues by itinerary, 9,125,728, 8,446,647, 8,209,699"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_2,4,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,Goodwill,6,5,"Line Item, Royal Caribbean International, Celebrity Cruises, Silversea Cruises, Total"
,Other assets,7,5,"Line Item, Remaining Weighted Average Amortization Period (Years), Gross Carrying Value, Accumulated Amortization, Net Carrying Value"
,Other assets_2,5,3,"Line Item, Fair Value at Acquisition Date, Weighted Average Amortization Period (Years)"
,Property and Equipment,8,3,"Line Item, 2018, 2017"
,Other assets_3,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,Other assets_4,3,3,"Line Item, 2018, 2017"
,Other assets_5,2,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_3,5,3,"Total assets, 4,297,446, 4,205,943"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_4,3,4,"Line Item, YE 12/31/2018, YE 12/31/2017, YE 12/31/2016"
,Debt,17,5,"Line Item, Interest Rate, Maturities Through, 2018, 2017"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_5,7,1,Year
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_6,2,4,"Classification of expense, 2018, 2017, 2016"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_7,8,5,"Stock Option Activity, Number ofOptions, Weighted-AverageExercisePrice, Weighted-AverageRemainingContractualTerm, AggregateIntrinsicValue"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_8,5,3,"Restricted Stock Units Activity, Number ofAwards, Weighted-AverageGrant DateFair Value"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS (Continued) ROYAL CARIBBEAN CRUISES LTD_9,5,3,"Performance Share Units Activity, Number ofAwards, Weighted-AverageGrant DateFair Value"
