SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,55403,2,2,"Title of Each Class, Name of Each Exchange on Which Registered"
,Properties,27,3,"Stores at February 2, 2019, Stores, Retail Sq. Ft."
,Properties_2,4,3,"Stores and Distribution Centers at February 2, 2019, Stores, DistributionCenters (a)"
,(a),3,7,"Line Item, February 1, 2014, January 31, 2015, January 30, 2016, January 28, 2017, February 3, 2018, February 2, 2019"
,Selected Financial Data,20,2,"Line Item, For the Fiscal Year"
,Compensation - Retirement Benefits (Topic 715),4,2,"Earnings Per Share From Continuing Operations, Percent Change"
,Analysis of Results of Operations,8,2,"Line Item, Percent Change"
,(a)_2,4,4,"Rate Analysis, 2018, 2017 As Adjusted (a), 2016As Adjusted"
,Sales,4,4,"Comparable Sales, 2018, 2017, 2016"
,Sales_2,3,4,"Contribution to Comparable Sales Change, 2018, 2017, 2016"
,Sales_3,3,4,"Sales by Channel, 2018, 2017, 2016"
,Sales_4,3,4,"REDcard Penetration, 2018, 2017, 2016"
,Store Data,4,3,"Change in Number of Stores, 2018, 2017"
,Store Data_2,5,3,"Number of Stores andRetail Square Feet, Number of Stores, Retail Square Feet (a)"
,(e),7,2,"EBIT and EBITDA, Percent Change"
,(c),6,3,"Numerator(dollars in millions), February 2, 2019, February 3, 2018 As Adjusted (a)"
,(c)_2,8,4,"Denominator(dollars in millions), February 2, 2019, February 3, 2018 As Adjusted, January 28, 2017As Adjusted"
,(c)_3,1,3,"After-tax return on invested capital (d)(h), 14.7, 15.4"
,Financing,2,4,"Credit Ratings, Moody's, Standard and Poor's, Fitch"
,Consolidated Statements of Operations,14,4,"Net earnings from continuing operations, 2,930, 2,908, 2,666"
,Consolidated Statements of Financial Position,17,3,"Total assets, 41,290, 40,303"
,Consolidated Statements of Cash Flows,5,4,"Cash and cash equivalents at end of period, 1,556, 2,643, 2,512"
,Compensation - Retirement Benefits (Topic 715)_2,10,7,"Net earnings from continuing operations, 2,928, 2, (22, ), --, 2,908"
,Compensation - Retirement Benefits (Topic 715)_3,10,6,"Net earnings from continuing operations, 2,669, --, (2, ), 2,666"
,(c)_4,17,5,"Total assets, 38,999, --, 1,304, 40,303"
,Revenues 3,11,4,"Revenues(millions), 2018, 2017, 2016"
,"Cost of Sales and Selling, General and Administrative Expenses 4",1,2,"Cost of Sales, Selling, General and Administrative Expenses"
,Advertising Costs 6,3,4,"Advertising Costs (millions), 2018, 2017, 2016"
,Fair Value Measurements 7,8,2,"Fair Value Measurements - Recurring Basis, Fair Value at"
,(c)_5,2,3,"Significant Financial Instruments not Measured at Fair Value (a)(millions), 2018, 2017"
,Other Current Assets 10,5,3,"Other Current Assets(millions), February 2, 2019, February 3, 2018As Adjusted"
,Property and Equipment 11,3,2,"Estimated Useful Lives, Life (Years)"
,Other Noncurrent Assets 12,5,3,"Other Noncurrent Assets(millions), February 2, 2019, February 3, 2018As Adjusted"
,Accrued and Other Current Liabilities 14,9,3,"Accrued and Other Current Liabilities(millions), February 2, 2019, February 3, 2018As Adjusted"
,Commercial Paper and Long-Term Debt 16,12,2,"Debt Maturities, February 2, 2019"
,(a)_3,1,6,"Required Principal Payments (millions), 2019, 2020, 2021, 2022, 2023"
,(a)_4,4,4,"Commercial Paper(dollars in millions), 2018, 2017, 2016"
,Leases 18,12,4,"Leases(millions), Classification, February 2, 2019, February 3, 2018"
,(a)_5,6,5,"Lease Cost(millions), Classification, 2018, 2017, 2016"
,(c)_6,9,4,"Maturity of Lease Liabilities(millions), Operating Leases (a), Finance Leases (b), Total"
,(b),6,3,"Lease Term and Discount Rate, February 2, 2019, February 3, 2018"
,(b)_2,4,4,"Other Information(millions), 2018, 2017, 2016"
,Income Taxes 19,8,4,"Tax Rate Reconciliation - Continuing Operations, 2018, 2017As Adjusted, 2016As Adjusted"
,(a)_6,11,4,"Provision for Income Taxes(millions), 2018, 2017As Adjusted, 2016As Adjusted"
,(a)_7,14,3,"Net Deferred Tax Asset / (Liability)(millions), February 2, 2019, February 3, 2018As Adjusted"
,(a)_8,6,4,"Reconciliation of Liability for Unrecognized Tax Benefits(millions), 2018, 2017, 2016"
,Other Noncurrent Liabilities 20,7,3,"Other Noncurrent Liabilities(millions), February 2, 2019, February 3, 2018As Adjusted"
,Share Repurchase 21,3,4,"Share Repurchases(millions, except per share data), 2018, 2017, 2016"
