SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Value Creation Framework,2,9,"2018, 21.0B, (1.0), ($183)M, 6.3, (0.1), 1,229M, 853M, 4.1"
,Capital Allocation Strategy,2,2,"Fund the Business, Target"
,Capital Allocation Strategy_2,3,2,"Return to Shareholders, Target"
,Regional Business Summary,3,2,"North America, In the United States, we market and distribute major home appliances and small domestic appliances primarily under the Whirlpool, Maytag, KitchenAid, JennAir,  Amana, Roper, Admiral, Affresh and Gladiator brand names primarily to retailers, distributors and builders.*In Canada, we market and distribute major home appliances primarily under the Admiral, Whirlpool, Maytag, JennAir, Amana, Roper, Estate, Inglis, Speed Queen and KitchenAid brand names.*We sell some products to other manufacturers, distributors, and retailers for resale in North America under those manufacturers' and retailers' respective brand names"
,"MARKET FOR REGISTRANT'S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES",4,5,"Period (Millions of dollars, except number and price per share), Total Number of Shares Purchased, Average Price Paid per Share, Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs, Approximate Dollar Value of Shares that May Yet Be Purchased Under the Plans"
,FIVE-YEAR SELECTED FINANCIAL DATA,36,7,"Earnings (loss) before income taxes and other items, (21, ), 887, 1,114, 1,031, 881"
,"Selling, General and Administrative",6,5,"Millions of dollars,  12/31/2018, As a %of Net Sales,  12/31/2017,  12/31/2016"
,RESULTS OF OPERATIONS - (CONTINUED) MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND,3,2,"Millions of dollars, Current Outlook"
,RESULTS OF OPERATIONS - (CONTINUED) MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND_2,13,5,"Net earnings (loss) available to Whirlpool, (183, ), 350, 888"
,RESULTS OF OPERATIONS - (CONTINUED) MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND_3,4,4,"Cash provided by operating activities, 1,229, 1,264, 1,203"
,Cash Flow Summary,3,5,"Investing activities, (399, ), (721, (612"
,CONTRACTUAL OBLIGATIONS AND FORWARD-LOOKING CASH REQUIREMENTS,7,6,"Millions of dollars, Total, 2019, 2020 & 2021, 2022 & 2023, Thereafter"
,RESULTS OF OPERATIONS - (CONTINUED) MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND_4,6,4,"Millions of dollars, PercentageChange, 2019 Expense, PBO/APBOfor 2018"
,"(Millions of dollars, except per share data) Year Ended December 31, CONSOLIDATED STATEMENTS OF INCOME (LOSS) WHIRLPOOL CORPORATION",10,5,"Earnings (loss) before income taxes, (21, ), 887, 1,114"
,"(Millions of dollars) Year Ended December 31, CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME (LOSS) WHIRLPOOL CORPORATION",8,5,"Net gain (loss) arising during period, (102, ), (51, (139"
,"(Millions of dollars) At December 31, CONSOLIDATED BALANCE SHEETS WHIRLPOOL CORPORATION",5,4,"Accumulated other comprehensive loss, (2,695, ), (2,331"
,"(Millions of dollars) Year Ended December 31, CONSOLIDATED STATEMENTS OF CASH FLOWS WHIRLPOOL CORPORATION",28,5,"Accrued pension and postretirement benefits, (434, ), (58, (43"
,"(Millions of dollars) Year ended December 31, CONSOLIDATED STATEMENTS OF CHANGES IN STOCKHOLDERS' EQUITY WHIRLPOOL CORPORATION",5,7,"Comprehensive income, (504, ), (183, (347, --, 26"
,Property,1,4,"Accumulated depreciation, (6,190, ), (6,825"
,Disaggregation of Revenue,10,2,"Millions of dollars, 2018"
,"CASH, CASH EQUIVALENTS AND RESTRICTED CASH ) 3 (",4,4,"Millions of dollars,  12/31/2018,  12/31/2017,  12/31/2016"
,INVENTORIES ) 4 (,1,4,"Less: excess of FIFO cost over LIFO cost, (160, ), (111"
,Goodwill  GOODWILL AND OTHER INTANGIBLES ) 5 (,6,6,"Millions of dollars, NorthAmerica, EMEA, LatinAmerica, Asia, TotalWhirlpool"
,Other Intangible Assets,4,8,"Customer relationships, 622, (330, ), 292, 639, (297, 342"
,Long-Term Debt  FINANCING ARRANGEMENTS ) 6 (,3,4,"Other, net, (10, ), 4"
,Long-Term Debt  FINANCING ARRANGEMENTS ) 6 (_2,7,1,Millions of dollars
,s Payable,3,3,"Millions of dollars, 2018, 2017"
,Product Warranty and Legacy Product Corrective Action Reserves,5,7,"Settlements made during the period/other, (294, ), (305, --, (70, (375"
,Operating Lease Commitments,7,1,Millions of dollars
,Purchase Obligations,7,1,Millions of dollars
,Obligations and Funded Status at End of Year Defined Benefit - Pensions and Postretirement Benefit Plans,9,8,"Funded status, (357, ), (669, (316, (381, (356, (394"
,Change in Benefit Obligation,8,8,"Benefits paid, (305, ), (260, (31, (32, (36, (40"
,Change in Plan Assets,5,8,"Benefits paid, (305, ), (260, (31, (32, (36, (40"
,Components of Net Periodic Benefit Cost,7,8,"Expected return on plan assets, (170, ), (175, (186, (32, (30, --"
,Components of Net Periodic Benefit Cost_2,1,10,"Interest and sundry  expense, (2, ), 6, 8, (1, 1, 3, 15, 16"
,2018 Other Changes in Plan Assets and Benefit Obligations Recognized in Other Comprehensive Income (Loss) (Pre-Tax) in,6,4,"Millions of dollars, United StatesPension Benefits, ForeignPension Benefits, Other PostretirementBenefits"
,2019 Estimated Pre-Tax Amounts that will be amortized from Accumulated Other Comprehensive Loss into Net Periodic Pension Cost in,3,4,"Millions of dollars, United StatesPension Benefits, ForeignPension Benefits, Other PostretirementBenefits"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED),24,3,"Millions of dollars,  12/31/2018,  12/31/2017"
,Fair Value Measurements Using Significant Unobservable Inputs (Level 3),3,3,"Unrealized gains (net), (4, )"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_2,10,10,"Foreign exchange forwards/options, 3,126, 3,113, 49, 55, 48, 157, (CF/NI), 44, 56"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_3,3,6,"Interest rate derivatives, (3, ), --, (1, (b)"
,FAIR VALUE MEASUREMENTS ) 10 (,2,5,"Net derivative contracts, --, (67, ), (66"
,FAIR VALUE MEASUREMENTS ) 10 (_2,5,3,"Measured at fair value on a non-recurring basis, 2018, 2017"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_4,4,7,"Other comprehensive income (loss), net of tax, (287, ), (23, (35, --, (345"
,Net Earnings per Share,4,5,"Numerator for basic and diluted earnings per share - net earnings (loss) available to Whirlpool, (183, ), 350, 888"
,Stock Option Activity,3,4,"Exercised, (367, ), 46.22"
,Stock Units,2,4,"Canceled, (67, ), 158.96"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_5,2,7,"Facility exit costs, 2, 41, (52, ), --, (9"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_6,5,6,"Millions of dollars, 12/31/2016, Charge to Earnings, Cash Paid, Non-cash and Other, 12/31/2017"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_7,6,2,"Millions of dollars, 2018 Charges"
,INCOME TAXES ) 14 (,14,5,"U.S. government tax incentives, (11, ), (13, (9"
,Current and Deferred Tax Provision,3,8,"Foreign, 182, (119, ), 213, (233, 167, (154"
,Deferred Tax Liabilities and Assets,2,4,"Valuation allowances for deferred tax assets, (348, ), (178"
,Unrecognized Tax Benefits,3,5,"Reductions for tax positions of prior years, (5, ), (1, (33"
,S TO THE CONSOLIDATED FINANCIAL STATEMENTS - (CONTINUED)_8,12,3,"Millions of dollars, December 31, 2018, December 31, 2017"
,SIGNATURES,30,2,"Signature, Title"
EXHIBIT 21,List of Subsidiaries WHIRLPOOL CORPORATION Exhibit 21,42,2,"Subsidiary and Name Under Which It Does Business, Jurisdiction in Which Organized"
,List of Subsidiaries WHIRLPOOL CORPORATION Exhibit 21_2,46,2,"Subsidiary and Name Under Which It Does Business, Jurisdiction in Which Organized"
,List of Subsidiaries WHIRLPOOL CORPORATION Exhibit 21_3,46,2,"Subsidiary and Name Under Which It Does Business, Jurisdiction in Which Organized"
,List of Subsidiaries WHIRLPOOL CORPORATION Exhibit 21_4,46,2,"Subsidiary and Name Under Which It Does Business, Jurisdiction in Which Organized"
,List of Subsidiaries WHIRLPOOL CORPORATION Exhibit 21_5,19,2,"Subsidiary and Name Under Which It Does Business, Jurisdiction in Which Organized"
EXHIBIT 24,POWER OF ATTORNEY,30,2,"Signature, Title"
