SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
10-K,Properties,12,3,"Property, Approximate Acres, Location"
,Issuer Purchases of Equity Securities,3,5,"For the Month Ended, Number of Shares Repurchased, Weighted Average Price Paid Per Share, Shares Repurchased as Part of a Publicly Announced Program, Approximate Dollar Value Remaining Under the Program"
,Selected Financial Data,9,6,"Line Item, 2018, 2017, 2016, 2015, 2014"
,Selected Financial Data_2,7,6,"Line Item,  12/31/2018,  12/31/2017,  12/31/2016,  12/31/2015,  12/31/2014"
,Summary annual results,4,4,"Line Item, 2018, 2017, 2016"
,Operating revenues,2,5,"Total Macau Operations, 5,052,091, 4,367,197, 684,894, 15.7"
,Operating revenues_2,6,5,"Casino revenues, 4,784,990, 4,244,303, 540,687, 12.7"
,Casino revenues,37,5,"Line Item, 2018, 2017, Increase/(Decrease), PercentChange"
,Casino revenues_2,11,5,"Line Item, 2018, 2017, Increase/(Decrease), PercentChange"
,Non-casino revenues,16,5,"Line Item, 2018, 2017, Increase/(Decrease), Percent Change"
,"Interest expense, net of capitalized interest",2,6,"Line Item, 381,849, 388,664, (6,815, ), (1.8"
,Operating Revenues,2,5,"Total Macau Operations, 4,367,197, 2,706,295, 1,660,902, 61.4"
,Operating Revenues_2,6,5,"Casino revenues, 4,244,303, 2,750,890, 1,493,413, 54.3"
,Casino Revenues,37,5,"Line Item, 2017, 2016, Increase/(Decrease), PercentChange"
,Casino Revenues_2,11,5,"Line Item, 2017, 2016, Increase/(Decrease), PercentChange"
,Non-casino revenues_2,16,5,"Line Item, 2017, 2016, Increase/(Decrease), PercentChange"
,"Interest expense, net of capitalized interest_2",6,5,"Line Item, 2017, 2016, Increase / (Decrease), Percent Change"
,Adjusted Property EBITDA,3,4,"Line Item, 2018, 2017, 2016"
,Allowance for Estimated Doubtful Accounts Receivable,3,3,"Line Item,  12/31/2018,  12/31/2017"
,Interest Rate Risks,6,8,"Line Item, 2019, 2020, 2021, 2022, 2023, Thereafter, Total"
,Financial Statements and Supplementary Data,8,2,"Line Item, Page"
,"CONSOLIDATED BALANCE SHEETS WYNN RESORTS, LIMITED AND SUBSIDIARIES",32,3,"Total current assets, 2,641,376, 3,423,784"
,"CONSOLIDATED STATEMENTS OF INCOME WYNN RESORTS, LIMITED AND SUBSIDIARIES",12,5,"Other income (expense), net, (429,804, ), (495,296, (211,065"
,"CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME WYNN RESORTS, LIMITED AND SUBSIDIARIES",7,4,"Net income, 803,084, 889,254, 302,469"
,"CONSOLIDATED STATEMENTS OF CASH FLOWS WYNN RESORTS, LIMITED AND SUBSIDIARIES",30,5,"Net cash used in investing activities, (1,222,810, ), (957,633, (1,288,250"
,"Cash, Cash Equivalents and Restricted Cash",2,3,"Total cash and cash equivalents, 2,215,001, 2,804,474"
,"S TO CONSOLIDATED FINANCIAL STATEMENTS (continued) WYNN RESORTS, LIMITED AND SUBSIDIARIES",6,3,"Line Item,  12/31/2018,  12/31/2017"
,Property and Equipment,5,2,"Line Item, Estimated Useful Life in Years"
