Tag:,Freq:
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:98.08429118773945%;border-collapse:collapse;text-align:left;"">",2
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:98.08429118773945%;border-collapse:collapse;text-align:left;"">",4
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:92.33716475095785%;border-collapse:collapse;text-align:left;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:94.6360153256705%;border-collapse:collapse;text-align:left;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:98.828125%;border-collapse:collapse;text-align:left;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:100%;border-collapse:collapse;text-align:left;"">",27
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:100%;border-collapse:collapse;text-align:left;"">",176
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-top:6px;font-family:Times New Roman; font-size:10pt;"">",78
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman; font-size:10pt;"">",177
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:99.90243902439025%;border-collapse:collapse;text-align:left;"">",6
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:99.90243902439025%;border-collapse:collapse;text-align:left;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;margin-left:auto;margin-right:auto;width:99.609375%;border-collapse:collapse;text-align:left;"">",7
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:99.8046875%;border-collapse:collapse;text-align:left;"">",10
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-top:12px;font-family:Times New Roman; font-size:10pt;"">",2
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-top:18px;font-family:Times New Roman; font-size:10pt;"">",4
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-top:12px;-sec-extract:summary;font-family:Times New Roman; font-size:10pt;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""padding-bottom:6px;font-family:Times New Roman; font-size:10pt;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:95.3125%;border-collapse:collapse;text-align:left;"">",1
"<table cellpadding=""0"" cellspacing=""0"" style=""font-family:Times New Roman;font-size:10pt;width:78.125%;border-collapse:collapse;text-align:left;"">",1
"<table border=""0"" cellspacing=""2"" class=""report"" id=""idp6787415120"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_DocumentAndEntityInformationAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"">",1582
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_AmendmentFlag"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_CurrentFiscalYearEndDate"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_DocumentFiscalPeriodFocus"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_DocumentFiscalYearFocus"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_DocumentPeriodEndDate"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_DocumentType"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_EntityCentralIndexKey"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_dei_EntityCommonStockSharesOutstanding"" style=""display: none;"">",1
