number,corpid,subsidiaries
1,1,Amazon Services LLC
2,1,Amazon Digital Services LLC
3,1,"Amazon.com Services, Inc."
4,1,"Amazon.com Intl Sales, Inc."
5,1,"Amazon Technologies, Inc."
6,1,Amazon.com Inc.
7,2,"Home Depot U.S.A., Inc."
8,2,"Home Depot International, Inc."
9,2,"HD Development Holdings, Inc."
10,2,"HD Development of Maryland, Inc."
11,2,"Home Depot Product Authority, LLC"
12,2,"Home Depot of Canada, Inc."
13,2,Home Depot Inc.
14,3,McCafe
15,3,McDonalds Australia
16,3,McDonalds Canada
17,3,Donatos Pizza
18,3,McDonalds USA
19,3,Restaurantes McDonalds S.A.
20,3,McDonalds New Zealand
21,3,McDonalds Restaurants
22,3,McDonalds Development Italy Inc
23,3,McDonalds Israel
24,3,McDonalds Suisse Restaurants S
25,3,McDonalds Danmark A/S
26,3,Dynamic Yield
27,3,McDonalds Restaurants Taiwan Co Ltd Taiwan
28,3,McDonalds France
29,3,"Apprente, Inc."
30,3,McDonalds Korea
31,3,Guangxi McDonalds Restaurants Food Co
32,3,McDonalds Nederland B.V.
33,3,Svenska McDonalds AB
34,3,McDonalds Restaurants Hong Kong Ltd Hong Kong
35,3,Lakson Group
36,3,McDonalds Philippines
37,3,Mcdonalds Jordan
38,3,Golden Arches Restaurant
39,3,McDonalds Chile S.A.
40,3,Servicios Rapidos del Paraguay SA
41,3,McDonalds Norge A/S
42,3,Siza Foods Private Limited
43,3,Moscow-McDonalds
44,3,McDonalds Real Estate LLP
45,3,"Industria de Hamburguesas, S.A."
46,3,McDonalds France Restaurants
47,3,Mcdonalds Australia Holdings Limited
48,3,"Sistemas McDonalds Portugal, Lda"
49,3,Al-Daud Restaurants L.L.C.
50,3,PT Bina Nusa Rama
51,3,McDonalds Immobilien GmbH
52,3,"DanBrad, Limited"
53,3,McDonalds Suisse Development Sarl
54,3,Alimentos Rapidos de Occidente S.de R.L. de C.V.
55,3,Akbar Group of Companies
56,3,McDonalds Restaurants of Ireland Limited
57,3,McDonalds Global Markets LLC
58,3,McDonalds Corporation
59,4,Converse
60,4,Hurley International
61,4,NIKE Flight
62,4,Nike Vision
63,4,NIKE Cortez
64,4,NIKE Pegasus
65,4,NIKE Deutschland GmbH
66,4,NIKE Tailwind
67,4,TraceMe Inc.
68,4,NIKE European Operations Netherlands B.V.
69,4,NIKE Huarache
70,4,Invertex Ltd
71,4,"Celect, Inc."
72,4,NIKE India Private Ltd
73,4,NIKE Retail B.V.
74,4,NIKE USA Inc
75,4,NIKE Philippines Inc
76,4,Zodiac Inc.
77,4,NIKE Innovate C.V.
78,4,NIKE Trading Co B.V.
79,4,NIKE UK Ltd
80,4,NIKE 360 Holding B.V.
81,4,PMG International Ltd
82,4,NIKE IHM Inc
83,4,NIKE Retail Services Inc
84,4,Nike Thailand
85,4,NIKE Hong Kong Ltd
86,4,NIKE SALES MALAYSIA SDN. BHD.
87,4,Hurley 999 SL
88,4,NIKE Global Trading PTE. LTD
89,4,Jordan Brand
90,4,NIKE Vietnam Co
91,4,Nike Singapore Pte Ltd
92,4,NIKE Japan Group LLC
93,4,NIKE Lavadome
94,4,NIKE Canada Holding B.V.
95,4,NIKE Europe Holding B.V.
96,4,Exeter Brands Group LLC
97,4,BRS NIKE Taiwan Inc
98,4,NIKE Japan Corp
99,4,NIKE Inc.
100,5,Teavana
101,5,Seattles Best Coffee
102,5,Tata Starbucks
103,5,Tazo
104,5,Evolution Fresh
105,5,Starbucks Coffee Singapore Pte. Ltd
106,5,Starbucks Coffee Japan
107,5,Hear Music
108,5,Starbucks Coffee Argentina S.R.L.
109,5,Starbucks China Co
110,5,Ethos Water
111,5,Starbucks Coffee Company UK
112,5,President Starbucks Coffee Taiwan
113,5,Starbucks Coffee Korea Co Ltd
114,5,PT Sari Coffee Indonesia
115,5,Starbucks Coffee International Inc
116,5,Coffee Equipment Company
117,5,Coffee Concepts Hong Kong
118,5,North American Coffee Partnership
119,5,Starbucks Coffee Trading Co Sarl
120,5,Starbucks Coffee EMEA B.V.
121,5,Marinopoulos Coffee Co SA
122,5,Starbucks Coffee
123,5,The Starbucks Foundation
124,5,Siren Retail Corporation
125,5,Starbucks Coffee Asia Pacific
126,5,Starbucks Coffee Canada Inc
127,5,"Teavana Holdings, Inc."
128,5,Amrest Kavezo
129,5,Starbucks Coffee Dalian Company
130,5,Coffee House Holdings Inc
131,5,Koffee Sirena LLC
132,5,Bay Bread LLC
133,5,Olympic Casualty Insurance Co
134,5,Starbucks Coffee Chile SA
135,5,Starbucks Manufacturing EMEA B.V.
136,5,Starbucks Coffee Austria GmbH
137,5,Starbucks Manufacturing Corp
138,5,CHH Cafe LLC
139,5,"Starbucks Trading, G.K."
140,5,Starbucks Corporation
141,6,"Rona, Inc."
142,6,Orchard Supply Hardware
143,6,Reno-Depot
144,6,ATG Stores
145,6,Masters Home Improvement
146,6,Lowes Home Centers Inc
147,6,Lowes HIW Inc
148,6,LG Sourcing
149,6,"Allied Trade Group, Inc."
150,6,"Central Wholesalers, LLC"
151,6,"Lowes Companies Canada, ULC"
152,6,LF Corporation
153,6,"Sterling Advertising, Ltd"
154,6,"Maintenance Supply Headquarters, LP"
155,6,"Lowes Companies, ESOP"
156,6,"Lowes Companies Mexico, S. De R.L. De C.V."
157,6,Lci Insurance Ltd.
158,6,Lowes Services India Private Limited
159,6,Lowes Companies Inc.
160,7,Agoda Company Pte. Ltd.
161,7,Booking.com B.V.
162,7,Booking.com Holding B.V.
163,7,KAYAK Software Corporation
164,7,"OpenTable, Inc."
165,7,Priceline.com Bookings Acquisition Company Limited
166,7,"Priceline.com Europe Holdco, Inc."
167,7,Priceline.com Holdco U.K. Limited
168,7,priceline.com International Ltd.
169,7,priceline.com LLC
170,7,Agoda Holding Company Limited
171,7,Booking Holdings Treasury Company
172,7,TravelJigsaw Holdings Limited
173,7,TravelJigsaw Limited
174,7,Booking Holdings Inc.
175,8,TJ Maxx
176,8,Marshalls
177,8,HomeGoods
178,8,Sierra
179,8,Winners
180,8,HomeSense
181,8,Marmaxx Operating Corp
182,8,Trade Secret
183,8,NBC Operating LP
184,8,TJX UK
185,8,Newton Buying Corp
186,8,NBC Nevada Merchants Inc
187,8,TK Maxx
188,8,T.K. Maxx GmbH & Co KG
189,8,Marshalls of CA LLC
190,8,NBC Charlotte Merchants Inc
191,8,TJX Incentive Sales Inc
192,8,"Marshalls of IL, LLC"
193,8,NBC Pittston Merchants Inc
194,8,"NBC Merchants, Inc"
195,8,Concord Buying Group Inc
196,8,NBC First Realty Corp
197,8,TJX Australia Pty Limited
198,8,Marshalls of Laredo TX Inc
199,8,Marshalls of Matteson IL Inc
200,8,TJX Ireland
201,8,NBC Second Realty Corp
202,8,New York Department Stores de Puerto Rico Inc
203,8,"NBC GP, LLC"
204,8,WMI-1 Holding Company
205,8,Strathmex Corp
206,8,"H. G. Beverage, LLC"
207,8,T.J. Maxx of IL LLC
208,8,"T.J. Maxx of CA, LLC"
209,8,"The TJX Foundation, Inc."
210,8,Tjx Oesterreich Ltd. & Co. Kg
211,8,"NBC Apparel, Inc"
212,8,"H.G. Indiana Distributors, Inc."
213,8,"Marshalls of Glen Burnie, MD, Inc"
214,8,Bobs Conn. Merchants Inc
215,8,"Marshalls of Nevada, Inc"
216,8,NBC Fifth Realty Corp
217,8,NBC Fourth Realty Corp
218,8,NBC Attire Inc
219,8,The Maxx
220,8,NBC Hong Kong Merchants ltd
221,8,NBC Atlantic Ltd
222,8,TJX Companies Inc
223,9,Shipt
224,9,"Target Brands, Inc"
225,9,Dermstore
226,9,Target Creative
227,9,Red Tail LLC
228,9,"Target Stores, Inc"
229,9,The Associated Merchandising Corporation
230,9,TG Holdings
231,9,"Target Global Trade, Inc"
232,9,Target Services Inc
233,9,AMC Nicaragua SA
234,9,Amcrest Corporation
235,9,"Target General Merchandise, Inc"
236,9,"DBC, LLC"
237,9,"Target Commercial Interiors, Inc"
238,9,Dayton Credit Co
239,9,"AMC Dominican Republic, S.A."
240,9,TGT Energy LLC
241,9,Target Corp India Private
242,9,Eighth Street Development Company
243,9,Glendale West LLC
244,9,Target Clinic Medical Associates Maryland LLC
245,9,Target Receivables Corporation
246,9,AMC Honduras SA
247,9,"Target Bridges, Inc"
248,9,"SuperTarget Liquor of Texas, Inc"
249,9,Amcrest France Sarl
250,9,Target Sourcing Services Guatemala Sociedad Anonima
251,9,STL of Nebraska Inc
252,9,"Target Connect, Inc"
253,9,Westbury Holding Co
254,9,"SuperTarget Liquor of Missouri, Inc"
255,9,Associated Merchandising Korea Corp
256,9,"ITC Sales and Procurement, LLC"
257,9,TSS One
258,9,"Target Millville Urban Renewal, LLC"
259,9,Walsh Bros
260,9,TCDC Inc
261,9,Target Foundation
262,9,Target Stafford Urban Renewal LLC
263,9,Target Jefferson Boulevard LLC
264,9,Target Sourcing Services India Private
265,9,Target Sourcing Services Pacific
266,9,AMC Guatemala Sociedad Anonima
267,9,Target Sourcing Services Asia
268,9,AMC S Pte. Ltd.
269,9,Target Capital Corporation
270,9,Target Sourcing Services Hong Kong
271,9,Target Sourcing Services Italy S.r.l.
272,9,Target Corporation
273,10,General Motors Company
274,11,"Ross Dress for Less, Inc"
275,11,"Ross Procurement, Inc"
276,11,Ross Merchandising Inc
277,11,Retail Assurance Group Ltd
278,11,"Ross Distribution, Inc"
279,11,Ross Stores Inc.
280,12,DOLGENCORP INC
281,12,Dollar General Literacy Foundation
282,12,DOLGENCORP OF TEXAS INC
283,12,DG Strategic III LLC
284,12,Dollar General Global Sourcing Ltd
285,12,DG Retail LLC
286,12,"Dolgencorp of New York, Inc."
287,12,DOLLAR GENERAL PARTNERS
288,12,DGC Properties LLC
289,12,"DG Transportation, Inc."
290,12,"DC Financial, LLC"
291,12,"DG Distribution of Texas, LLC"
292,12,DG Strategic II LLC
293,12,"DG Strategic VII, LLC"
294,12,DG Promotions Inc
295,12,Retail Risk Solutions LLC
296,12,DG Strategic I LLC
297,12,"DG Strategic VI, LLC"
298,12,"South Boston Holdings, Inc."
299,12,Dolgen III Inc
300,12,Ashley River Insurance Co Inc
301,12,"South Boston FF&E, LLC"
302,12,DG LOGISTICS LLC
303,12,"Dollar General Merchandising, Inc."
304,12,"DG eCommerce, LLC"
305,12,DGC Properties of Kentucky LLC
306,12,"Retail Property Investments, LLC"
307,12,Dolgen II Inc
308,12,DGC Holdings LLC
309,12,"DG Distribution Midwest, LLC"
310,12,Dollar General Investment Inc
311,12,Dolgen I Inc
312,12,Sun Dollar LP
313,12,Dollar General Corporation
314,13,Sheraton Hotels and Resorts
315,13,Westin Hotels & Resorts
316,13,Ritz-Carlton Hotel Company
317,13,Starwood
318,13,Aloft Hotels
319,13,Le Meridien
320,13,Autograph Collection
321,13,Four Points by Sheraton
322,13,Gaylord Hotels
323,13,AC Hotels
324,13,Delta Hotels
325,13,Marriott Hotels International
326,13,Luxury Hotels International of Hong Kong
327,13,Marriott Hotels Limited
328,13,Marriott Hotel Services Inc
329,13,Hospitality International
330,13,Residence Inn by Marriott LLC
331,13,Courtyard Management Corp
332,13,MVCI Europe
333,13,"Marriott International Hotels, Inc."
334,13,The Westin Dublin
335,13,Minneapolis Marriott Northwest
336,13,Renaissance New York Hotel 57
337,13,Sheraton Operating Corporation
338,13,Starwood Asia Pacific Hotels & Resorts Pte Ltd.
339,13,Renaissance Hotel Operating Company
340,13,"Galaxy Hotel Systems, LLC"
341,13,"Marriott International Administrative Services, Inc."
342,13,Global Hospitality Licensing S.A.R.L
343,13,The Ritz-Carlton Hotel Company Berlin GmbH
344,13,SLC Operating Partnership
345,13,Amazonas H.O.T. S.A.
346,13,Essex House Condominium Corporation
347,13,"Hoteles Sheraton, S. De R.L. De C.V."
348,13,Cologne MH Operating Company GmbH
349,13,MVCI Asia Pacific Hong Kong Pte Limited
350,13,"SpringHill SMC, LLC"
351,13,Meridien SAS
352,13,Starwood Hotels & Resorts India Private Limited
353,13,Marriott International Design & Construction Services Inc
354,13,Starwood Italia Srl
355,13,Sheraton Gateway Limited Partnership
356,13,Frankfurt Marriott Hotelmanagement GmbH
357,13,Renaissance Services B.V.
358,13,Starwood Canada Ulc
359,13,"Torre Polanco, S. De R.L. De C.V."
360,13,PT Indo-Pacific Sheraton
361,13,Roissy CYBM SAS
362,13,Westin Asset Management Company
363,13,Sheraton Overseas Management Corp
364,13,Starwood EAME License and Services Company BVBA
365,13,Marriott International Inc.
366,14,Ford Motor Company
367,15,OReilly Automotive Inc.
368,16,KFC
369,16,Pizza Hut
370,16,Taco Bell
371,16,WingStreet
372,16,KFC Holding Co
373,16,KFC in Japan
374,16,"QuikOrder, Inc."
375,16,Yum Restaurants International Thailand
376,16,KFC in South Africa
377,16,Pizza Hut Canada
378,16,Kentucky Fried Chicken Pty. Ltd.
379,16,Yum! Franchise I LP
380,16,Yum! Brands Canada Management LP
381,16,Yum! Restaurants International Canada LP
382,16,Yum! Asia Franchise Pte Ltd
383,16,"Yorkshire Global Restaurants, Inc"
384,16,Yum! Restaurants International Inc
385,16,Yum! Restaurants India Private ltd
386,16,Yum! Restaurants International Ltd. & Co. KG
387,16,"Pizza Hut International, LLC"
388,16,Yum! Restaurants Australia Pty ltd
389,16,"Taco Bell of America, Inc"
390,16,Yum! Restaurants International Russia LLC
391,16,"Kentucky Fried Chicken International Holdings, Inc"
392,16,Yum Restaurants International ltd
393,16,Yum! Restaurant Holdings
394,16,Yum! Restaurants Asia Private Ltd
395,16,KFC U.S. Properties Inc
396,16,Yum Restaurants Espana SL
397,16,Pizza Hut of America Inc
398,16,Yum! Restaurantes do Brasil Ltda
399,16,KFC Holdings B.V.
400,16,Yum! Restaurants International Management Sar.l.
401,16,Kentucky Fried Chicken Great Britain ltd
402,16,"Yum! Restaurants International Holdings, Ltd"
403,16,Restaurant Holdings ltd
404,16,Yum! Restaurants China Investment Co Ltd
405,16,Wuxi KFC Co Ltd
406,16,Yum! Brands Inc.
407,17,ALLDATA
408,17,"AutoZoners, LLC"
409,17,AutoZone Parts Inc
410,17,AutoZone de Mexico S. de R.L. de C.V.
411,17,AutoZone.com Inc
412,17,AutoZone Development Corp
413,17,Riverside Captive Insurance Company
414,17,"AutoZone Texas, L.P."
