SearchTerm,date,favorites,mentions,retweets,text
Advance AutoParts,11/16/2019,0,,0,"$ AAP's price moved above its 50-day Moving Average on November 15, 2019. View odds for this and other indicators: https://tickeron.com/go/922629 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/Da3kglnWgU"
Advance AutoParts,11/15/2019,0,@,0,THANK YOU to # advanceautoparts in # oakridge for their generous contribution to # eastttnheartfest TOMORROW doors open at 5 pm and it's $10 to enter with all proceeds going to @ PROJHEARTpic.twitter.com/JRCrUHhP9V
Advance AutoParts,11/15/2019,0,,0,# advanceautoparts # Napa # caranddrivermag # Friday # herestotheweekend # financialeducation # automotiveaccounting # clienteducationpic.twitter.com/hvkTSJSlQR
Advance AutoParts,11/15/2019,0,,0,Come by and see us today! Those parts can't walk to you them selfs. Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts # autopartsstore # advancedautoparts # napaautoparts
Advance AutoParts,11/15/2019,0,,0,We have the largest selection of Late Model Cars and Trucks from 2005 and newer. Come by and see us today! Online: http://www.aaautorecyclers.com/ Phone: 210-298-2698 # autozone # advanceautoparts # advanceauto # oreillyautoparts
Advance AutoParts,11/15/2019,0,,0,Come by and see us today! Those parts can't walk to you them selfs. * Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts
Advance AutoParts,11/15/2019,0,,0,"Recent high ~ Advance Auto Parts: 20% off, plus up to 7% cash back. This is the best sale at Advance Auto Parts we've seen in awhile. Ends Nov 17. https://www.evreward.com/uwjk6 # advanceautoparts # couponcode # cashbackpic.twitter.com/i8I9OhzrbN"
Advance AutoParts,11/15/2019,0,,0,"$ AAP in Uptrend: price expected to rise as it breaks its lower Bollinger Band on November 12, 2019. View odds for this and other indicators: https://tickeron.com/go/919606 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/8ErPMsXySw"
Advance AutoParts,11/14/2019,0,,0,"$ AAP in Uptrend: 50-day Moving Average broke above 200-day Moving Average on November 7, 2019. View odds for this and other indicators: https://tickeron.com/go/916521 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/LI7bDIRoLf"
Advance AutoParts,11/13/2019,0,,0,We are South Texas' Largest Self-Service Auto and Truck Dismantler. We sell auto parts differently and save you more money. Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts
