SearchTerm,author_id,date,favorites,formatted_date,geo,hashtags,id,mentions,permalink,retweets,text,urls,username
Advance AutoParts,374729426,11/16/2019,0,Sat Nov 16 09:03:23 +0000 2019,,# # # # # # # # # #,1.1957E+18,,https://twitter.com/Tickeron/status/1195703916400431105,0,"$ AAP's price moved above its 50-day Moving Average on November 15, 2019. View odds for this and other indicators: https://tickeron.com/go/922629 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/Da3kglnWgU",https://tickeron.com/go/922629,
Advance AutoParts,1.05521E+18,11/15/2019,0,Fri Nov 15 20:15:10 +0000 2019,,# # #,1.19551E+18,@,https://twitter.com/CivilStrifeKnox/status/1195510590388736000,0,THANK YOU to # advanceautoparts in # oakridge for their generous contribution to # eastttnheartfest TOMORROW doors open at 5 pm and it's $10 to enter with all proceeds going to @ PROJHEARTpic.twitter.com/JRCrUHhP9V,,
Advance AutoParts,1.03741E+18,11/15/2019,0,Fri Nov 15 17:50:04 +0000 2019,,# # # # # # # #,1.19547E+18,,https://twitter.com/PaarMelis/status/1195474072894943233,0,# advanceautoparts # Napa # caranddrivermag # Friday # herestotheweekend # financialeducation # automotiveaccounting # clienteducationpic.twitter.com/hvkTSJSlQR,,
Advance AutoParts,1.03673E+18,11/15/2019,0,Fri Nov 15 12:30:03 +0000 2019,,# # # # # # #,1.19539E+18,,https://twitter.com/picknpullsa/status/1195393538076360707,0,Come by and see us today! Those parts can't walk to you them selfs. Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts # autopartsstore # advancedautoparts # napaautoparts,http://www.picknpullsa.com,
Advance AutoParts,7.4607E+17,11/15/2019,0,Fri Nov 15 12:30:03 +0000 2019,,# # # #,1.19539E+18,,https://twitter.com/AAAutoRecycler/status/1195393537795379202,0,We have the largest selection of Late Model Cars and Trucks from 2005 and newer. Come by and see us today! Online: http://www.aaautorecyclers.com/ Phone: 210-298-2698 # autozone # advanceautoparts # advanceauto # oreillyautoparts,http://www.aaautorecyclers.com/,
Advance AutoParts,1.03673E+18,11/15/2019,0,Fri Nov 15 12:30:02 +0000 2019,,# # # #,1.19539E+18,,https://twitter.com/picknpullsa/status/1195393534657990656,0,Come by and see us today! Those parts can't walk to you them selfs. * Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts,http://www.picknpullsa.com,
Advance AutoParts,132066790,11/15/2019,0,Fri Nov 15 10:51:06 +0000 2019,,# # #,1.19537E+18,,https://twitter.com/evreward/status/1195368637462269952,0,"Recent high ~ Advance Auto Parts: 20% off, plus up to 7% cash back. This is the best sale at Advance Auto Parts we've seen in awhile. Ends Nov 17. https://www.evreward.com/uwjk6 # advanceautoparts # couponcode # cashbackpic.twitter.com/i8I9OhzrbN",https://www.evreward.com/uwjk6,
Advance AutoParts,374729426,11/15/2019,0,Fri Nov 15 09:44:58 +0000 2019,,# # # # # # # # # #,1.19535E+18,,https://twitter.com/Tickeron/status/1195351994682265600,0,"$ AAP in Uptrend: price expected to rise as it breaks its lower Bollinger Band on November 12, 2019. View odds for this and other indicators: https://tickeron.com/go/919606 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/8ErPMsXySw",https://tickeron.com/go/919606,
Advance AutoParts,374729426,11/14/2019,0,Thu Nov 14 09:29:18 +0000 2019,,# # # # # # # # # #,1.19499E+18,,https://twitter.com/Tickeron/status/1194985661347926016,0,"$ AAP in Uptrend: 50-day Moving Average broke above 200-day Moving Average on November 7, 2019. View odds for this and other indicators: https://tickeron.com/go/916521 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/LI7bDIRoLf",https://tickeron.com/go/916521,
Advance AutoParts,1.03673E+18,11/13/2019,0,Wed Nov 13 12:30:02 +0000 2019,,# # # #,1.19467E+18,,https://twitter.com/picknpullsa/status/1194668759052632064,0,We are South Texas' Largest Self-Service Auto and Truck Dismantler. We sell auto parts differently and save you more money. Online: http://www.picknpullsa.com Phone: 210-298-5420 # autozone # advanceautoparts # advanceauto # oreillyautoparts,http://www.picknpullsa.com,
Advance AutoParts,3279326371,11/13/2019,0,Wed Nov 13 09:47:03 +0000 2019,,# # # # # # # # # # # #,1.19463E+18,,https://twitter.com/PartsDetect/status/1194627741603250176,0,"Its in our veins! The more we put in the more we get out, unlike sports. # Snapon # snapontools # matco # matcotools # autozone # pepboys # advanceautoparts # napaknowhow # carmechanic # autorepairs # carparts # partsdetectpic.twitter.com/YwyOfSS6f2",,
Advance AutoParts,374729426,11/13/2019,0,Wed Nov 13 08:58:50 +0000 2019,,# # # # # # # # # #,1.19462E+18,,https://twitter.com/Tickeron/status/1194615608257597440,0,"$ AAP enters a Downtrend as Momentum Indicator dropped below the 0 level on November 12, 2019. View odds for this and other indicators: https://tickeron.com/go/913378 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/xd9CsBkmgz",https://tickeron.com/go/913378,
Advance AutoParts,1317654300,11/13/2019,1,Wed Nov 13 08:08:48 +0000 2019,,# # # # #,1.1946E+18,@,https://twitter.com/WeAreLekcaj/status/1194603015694671874,0,# advanceautoparts Just sent me and email about winter storm CALEB! @ VoiceOfOBrien Are they sure the don't mean FireStorm? # criticalrole # critters # dnd # nerdingoutpic.twitter.com/C8vN1cljpa,,
Advance AutoParts,1.03741E+18,11/12/2019,0,Tue Nov 12 20:00:12 +0000 2019,,# # # # # # # # # # # # # #,1.19442E+18,,https://twitter.com/PaarMelis/status/1194419657752625152,0,Tip of the week! # advanceautoparts # Napa # caranddrivermag # mrbargain_auto_parts # oreillyautoparts # napaknowhow # pepboysauto # apexautomag # oil_lube_news # accounting # financialeducation # automotiveaccounting # clienteducation # tipoftheweekpic.twitter.com/n6vYPldZes,,
Advance AutoParts,227325670,11/12/2019,0,Tue Nov 12 14:10:00 +0000 2019,,# # # # # #,1.19433E+18,@ @,https://twitter.com/The_Greensheet/status/1194331526839844866,0,Advance Auto Parts New Learning Management System Emphasizes Career Advancement https://www.autocareweek.com/advances-new-learning-management-system-stresses-career-advancement-64290.htm  @ AdvanceAuto @ AdvanceAutoPro $ AAP # autocare # carcare # automotive # autoparts # aftermarket # trainingpic.twitter.com/bEoFowCEe6,https://www.autocareweek.com/advances-new-learning-management-system-stresses-career-advancement-64290.htm,
Advance AutoParts,374729426,11/12/2019,1,Tue Nov 12 08:43:58 +0000 2019,,# # # # # # # # # #,1.19425E+18,,https://twitter.com/Tickeron/status/1194249477206315011,0,$ AAP in Uptrend: Stochastic indicator stays in overbought zone for 3 days. View odds for this and other indicators: https://tickeron.com/go/910261 # AdvanceAutoParts # stockmarket # stock # technicalanalysis # money # trading # investing # daytrading # news # todaypic.twitter.com/zk1ucoQw0M,https://tickeron.com/go/910261,
Advance AutoParts,3279326371,11/12/2019,0,Tue Nov 12 08:20:02 +0000 2019,,# # # # # # # # # # # #,1.19424E+18,,https://twitter.com/PartsDetect/status/1194243455922429952,0,How many shops have a service advisor? I wore many hats when I owned my shop. # Snapon # snapontools # matco # matcotools # autozone # pepboys # advanceautoparts # napaknowhow # carmechanic # autorepairs # carparts # partsdetectpic.twitter.com/h3v0c3H0wu,,
Advance AutoParts,1.1075E+18,11/12/2019,2,Tue Nov 12 07:45:51 +0000 2019,,# # # # # # # # # #,1.19423E+18,@advanceautoparts @ @ @https,https://twitter.com/All_ATM1/status/1194234853937602560,0,"I saved $55 on parts from @advanceautoparts using # speedperks, @ top_cashback, and @ honey. Start saving today using my referral links @https://all-atm.com/discounts/ . # savemoremoney # lovetosave # savecash # cashbackrocks # cashback # cashbacklife # discountsgalore # discounts # discountsrockpic.twitter.com/Z3kaVZxkru",https://all-atm.com/discounts/,
Advance AutoParts,235509096,11/12/2019,0,Tue Nov 12 02:14:29 +0000 2019,,# # # # # # # # # # # # # # # # # # # # # #,1.19415E+18,,https://twitter.com/TSimonts/status/1194151462798024704,0,# AdvanceAutoParts # Aveva # Binckbank # CBS # DCC # DeutschePost # DrHorton # Enel # Evotec # EVSBroadcast # Experian # IMCD # Infineon # ITV # Linde # OsramLicht # Prysmian # RockwellAutomation # SkyworksSolutions # TysonFoods # Uniper # Vodafone Lijst pic.twitter.com/I8dpq9IAIF,,
Advance AutoParts,8.79795E+17,11/12/2019,1,Tue Nov 12 00:17:02 +0000 2019,,,1.19412E+18,,https://twitter.com/alex_canoura/status/1194121906569367552,0,saw Fred at Advance Autoparts Store. Dude Looked like he was in aFat One. He use to bully me back in high school,,
Advance AutoParts,3279326371,11/11/2019,1,Mon Nov 11 10:15:05 +0000 2019,,# # # # # # # # # # # #,1.19391E+18,,https://twitter.com/PartsDetect/status/1193910022989918209,0,So true! How can we fix this problem??? # Snapon # snapontools # matco # matcotools # autozone # pepboys # advanceautoparts # napaknowhow # carmechanic # autorepairs # carparts # partsdetectpic.twitter.com/Uo27ccAe4z,,
