Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Amazon.com Inc.,AMZN,02313510,2000019,22.388870,Internet & Direct Marketing Retail,1816321.000,USD
Home Depot Inc.,HD,43707610,2434209,11.052417,Specialty Retail,6883189.000,USD
McDonald's Corporation,MCD,58013510,2550707,6.352899,Hotels Restaurants & Leisure,4773217.000,USD
NIKE Inc. Class B,NKE,65410610,2640147,4.903038,Textiles Apparel & Luxury Goods,7868162.000,USD
Starbucks Corporation,SBUX,85524410,2842255,4.249976,Hotels Restaurants & Leisure,7523398.000,USD
Lowe's Companies Inc.,LOW,54866110,2536763,3.765167,Specialty Retail,4850900.000,USD
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,3.407733,Internet & Direct Marketing Retail,267231.000,USD
TJX Companies Inc,TJX,87254010,2989301,3.105959,Specialty Retail,7598321.000,USD
Target Corporation,TGT,87612E10,2259101,2.448044,Multiline Retail,3211293.000,USD
General Motors Company,GM,37045V10,B665KZ5,2.095143,Automobiles,7896637.000,USD
Ross Stores Inc.,ROST,77829610,2746711,1.786513,Specialty Retail,2292109.000,USD
Dollar General Corporation,DG,25667710,B5B1S13,1.773418,Multiline Retail,1615708.000,USD
Marriott International Inc. Class A,MAR,57190320,2210614,1.575954,Hotels Restaurants & Leisure,1718195.000,USD
Ford Motor Company,F,34537086,2615468,1.509443,Automobiles,24631528.000,USD
O'Reilly Automotive Inc.,ORLY,67103H10,B65LWX6,1.459456,Specialty Retail,480904.000,USD
Yum! Brands Inc.,YUM,98849810,2098876,1.313847,Hotels Restaurants & Leisure,1912495.000,USD
AutoZone Inc.,AZO,05333210,2065955,1.238722,Specialty Retail,154169.000,USD
Hilton Worldwide Holdings Inc,HLT,43300A20,BYVMW06,1.229496,Hotels Restaurants & Leisure,1802917.000,USD
V.F. Corporation,VFC,91820410,2928683,1.222385,Textiles Apparel & Luxury Goods,2052204.000,USD
eBay Inc.,EBAY,27864210,2293819,1.191808,Internet & Direct Marketing Retail,4955434.000,USD
Dollar Tree Inc.,DLTR,25674610,2272476,1.153054,Multiline Retail,1487269.000,USD
Aptiv PLC,APTV,G6095L10,B783TY6,1.071024,Auto Components,1610251.000,USD
Royal Caribbean Cruises Ltd.,RCL,V7780T10,2754907,0.859993,Hotels Restaurants & Leisure,1084954.000,USD
